,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,Year,제곱미터당가격(만원),날짜,지수
18,대구광역시 남구 이천동,214-456,214,456,강변타운,59.85,2006-01-01,2,10200.0,3,1994.0,명덕로68길 19,,-,-,2006,170.42606516290726,2006-01-01,56.80721512
19,대구광역시 남구 이천동,121-70,121,70,대구이천주공1,84.98,2006-01-01,18,14700.0,4,1999.0,명덕로68길 77,,-,-,2006,172.9818780889621,2006-01-01,56.80721512
20,대구광역시 남구 이천동,650,650,0,보성상아맨션,84.735,2006-01-01,3,14500.0,7,1987.0,명덕로 236,,-,-,2006,171.12173246002243,2006-01-01,56.80721512
21,대구광역시 남구 이천동,650,650,0,보성상아맨션,84.735,2006-01-01,23,14800.0,9,1987.0,명덕로 236,,-,-,2006,174.66218209712633,2006-01-01,56.80721512
22,대구광역시 남구 이천동,650,650,0,보성상아맨션,197.13,2006-01-01,31,25500.0,2,1987.0,명덕로 236,,-,-,2006,129.35626236493684,2006-01-01,56.80721512
965,대구광역시 남구 이천동,214-456,214,456,강변타운,52.23,2006-02-01,7,9000.0,12,1994.0,명덕로68길 19,,-,-,2006,172.31476163124643,2006-02-01,57.06789152
966,대구광역시 남구 이천동,214-456,214,456,강변타운,52.23,2006-02-01,8,8350.0,15,1994.0,명덕로68길 19,,-,-,2006,159.86980662454528,2006-02-01,57.06789152
967,대구광역시 남구 이천동,214-456,214,456,강변타운,52.23,2006-02-01,13,8350.0,6,1994.0,명덕로68길 19,,-,-,2006,159.86980662454528,2006-02-01,57.06789152
968,대구광역시 남구 이천동,214-456,214,456,강변타운,59.85,2006-02-01,24,10000.0,4,1994.0,명덕로68길 19,,-,-,2006,167.0843776106934,2006-02-01,57.06789152
969,대구광역시 남구 이천동,121-70,121,70,대구이천주공1,49.61,2006-02-01,6,8700.0,18,1999.0,명덕로68길 77,,-,-,2006,175.36786938117316,2006-02-01,57.06789152
