,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,Year,제곱미터당가격(만원),날짜,지수,행정구
3674,대구광역시 동구 봉무동,245,245,0,봉무청구새들마을,59.87,2006-03-01,1,9000.0,19,2001.0,팔공로 322-5,,-,-,2006,150.32570569567397,2006-03-01,57.34647609,대구광역시동구
3675,대구광역시 동구 봉무동,245,245,0,봉무청구새들마을,59.87,2006-03-01,7,9500.0,5,2001.0,팔공로 322-5,,-,-,2006,158.67713378987807,2006-03-01,57.34647609,대구광역시동구
3676,대구광역시 동구 봉무동,245,245,0,봉무청구새들마을,121.2919,2006-03-01,10,20000.0,6,2001.0,팔공로 322-5,,-,-,2006,164.89147255505108,2006-03-01,57.34647609,대구광역시동구
3677,대구광역시 동구 봉무동,245,245,0,봉무청구새들마을,84.995,2006-03-01,10,14700.0,9,2001.0,팔공로 322-5,,-,-,2006,172.95135007941641,2006-03-01,57.34647609,대구광역시동구
3678,대구광역시 동구 봉무동,245,245,0,봉무청구새들마을,59.87,2006-03-01,17,9900.0,7,2001.0,팔공로 322-5,,-,-,2006,165.35827626524136,2006-03-01,57.34647609,대구광역시동구
5491,대구광역시 동구 봉무동,245,245,0,봉무청구새들마을,121.2919,2006-04-01,25,22100.0,10,2001.0,팔공로 322-5,,-,-,2006,182.20507717333143,2006-04-01,57.54743175,대구광역시동구
6914,대구광역시 동구 봉무동,245,245,0,봉무청구새들마을,84.995,2006-05-01,3,14500.0,6,2001.0,팔공로 322-5,,-,-,2006,170.5982704864992,2006-05-01,57.78075678,대구광역시동구
6915,대구광역시 동구 봉무동,245,245,0,봉무청구새들마을,121.2919,2006-05-01,15,18000.0,1,2001.0,팔공로 322-5,,-,-,2006,148.40232529954596,2006-05-01,57.78075678,대구광역시동구
6916,대구광역시 동구 봉무동,245,245,0,봉무청구새들마을,84.995,2006-05-01,22,14000.0,5,2001.0,팔공로 322-5,,-,-,2006,164.7155715042061,2006-05-01,57.78075678,대구광역시동구
8073,대구광역시 동구 봉무동,245,245,0,봉무청구새들마을,59.87,2006-07-01,13,9400.0,9,2001.0,팔공로 322-5,,-,-,2006,157.00684817103726,2006-07-01,57.58424016,대구광역시동구
9228,대구광역시 동구 봉무동,245,245,0,봉무청구새들마을,59.87,2006-09-01,21,9500.0,5,2001.0,팔공로 322-5,,-,-,2006,158.67713378987807,2006-09-01,57.3940838,대구광역시동구
10848,대구광역시 동구 봉무동,245,245,0,봉무청구새들마을,84.995,2006-10-01,26,16000.0,15,2001.0,팔공로 322-5,,-,-,2006,188.24636743337842,2006-10-01,57.36027055,대구광역시동구
10849,대구광역시 동구 봉무동,245,245,0,봉무청구새들마을,84.995,2006-10-01,27,12500.0,20,2001.0,팔공로 322-5,,-,-,2006,147.0674745573269,2006-10-01,57.36027055,대구광역시동구
14119,대구광역시 동구 봉무동,245,245,0,봉무청구새들마을,84.995,2006-11-01,22,15850.0,16,2001.0,팔공로 322-5,,-,-,2006,186.4815577386905,2006-11-01,57.34058975,대구광역시동구
16424,대구광역시 동구 봉무동,245,245,0,봉무청구새들마을,84.995,2006-12-01,12,14850.0,5,2001.0,팔공로 322-5,,-,-,2006,174.71615977410434,2006-12-01,57.34538394,대구광역시동구
16425,대구광역시 동구 봉무동,245,245,0,봉무청구새들마을,84.995,2006-12-01,19,15500.0,2,2001.0,팔공로 322-5,,-,-,2006,182.36366845108535,2006-12-01,57.34538394,대구광역시동구
16426,대구광역시 동구 봉무동,245,245,0,봉무청구새들마을,59.87,2006-12-01,26,10200.0,11,2001.0,팔공로 322-5,,-,-,2006,170.36913312176384,2006-12-01,57.34538394,대구광역시동구
18427,대구광역시 동구 봉무동,245,245,0,봉무청구새들마을,59.87,2006-06-01,7,9800.0,13,2001.0,팔공로 322-5,,-,-,2006,163.68799064640055,2006-06-01,57.71723837,대구광역시동구
18428,대구광역시 동구 봉무동,245,245,0,봉무청구새들마을,84.995,2006-06-01,15,15950.0,7,2001.0,팔공로 322-5,,-,-,2006,187.65809753514912,2006-06-01,57.71723837,대구광역시동구
20599,대구광역시 동구 봉무동,245,245,0,봉무청구새들마을,59.87,2007-07-01,4,10200.0,19,2001.0,팔공로 322-5,,-,-,2007,170.36913312176384,2007-07-01,56.28218301,대구광역시동구
