,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,Year,제곱미터당가격(만원),날짜,지수,행정구
433,대구광역시 동구 신암동,258-16,258,16,동림,132.02,2006-01-01,24,13500.0,1,1992.0,신암남로23길 13,,-,-,2006,102.25723375246174,2006-01-01,56.80721512,대구광역시동구
434,대구광역시 동구 신암동,20,20,0,동서1,61.82,2006-01-01,7,7800.0,1,1984.0,아양로39길 16,,-,-,2006,126.17275962471692,2006-01-01,56.80721512,대구광역시동구
435,대구광역시 동구 신암동,1525,1525,0,동서청기와,71.36,2006-01-01,16,12000.0,2,1988.0,아양로49길 20,,-,-,2006,168.16143497757847,2006-01-01,56.80721512,대구광역시동구
436,대구광역시 동구 신암동,184-5,184,5,동양B(184-5),42.98,2006-01-01,16,6190.0,4,1978.0,아양로8길 30,,-,-,2006,144.02047463936717,2006-01-01,56.80721512,대구광역시동구
437,대구광역시 동구 신암동,362-3,362,3,드림팔레스,84.92,2006-01-01,23,11000.0,6,2003.0,신암남로28길 80-8,,-,-,2006,129.5336787564767,2006-01-01,56.80721512,대구광역시동구
438,대구광역시 동구 신암동,622,622,0,보성1차,50.85,2006-01-01,12,7800.0,2,1985.0,큰고개로 23,,-,-,2006,153.3923303834808,2006-01-01,56.80721512,대구광역시동구
439,대구광역시 동구 신암동,67,67,0,보성2차,67.19,2006-01-01,21,10700.0,3,1988.0,아양로49길 77,,-,-,2006,159.24988837624647,2006-01-01,56.80721512,대구광역시동구
440,대구광역시 동구 신암동,194-1,194,1,신암건영캐스빌,83.718,2006-01-01,5,16300.0,10,2005.0,신암남로 50,,-,-,2006,194.70125898850904,2006-01-01,56.80721512,대구광역시동구
441,대구광역시 동구 신암동,194-1,194,1,신암건영캐스빌,83.718,2006-01-01,5,15950.0,14,2005.0,신암남로 50,,-,-,2006,190.52055710838766,2006-01-01,56.80721512,대구광역시동구
442,대구광역시 동구 신암동,194-1,194,1,신암건영캐스빌,83.718,2006-01-01,12,15800.0,10,2005.0,신암남로 50,,-,-,2006,188.7288277311928,2006-01-01,56.80721512,대구광역시동구
443,대구광역시 동구 신암동,194-1,194,1,신암건영캐스빌,73.322,2006-01-01,13,13150.0,5,2005.0,신암남로 50,,-,-,2006,179.34589891164998,2006-01-01,56.80721512,대구광역시동구
444,대구광역시 동구 신암동,194-1,194,1,신암건영캐스빌,58.61,2006-01-01,17,13100.0,14,2005.0,신암남로 50,,-,-,2006,223.51134618665756,2006-01-01,56.80721512,대구광역시동구
445,대구광역시 동구 신암동,194-1,194,1,신암건영캐스빌,83.718,2006-01-01,24,14300.0,8,2005.0,신암남로 50,,-,-,2006,170.81153395924412,2006-01-01,56.80721512,대구광역시동구
446,대구광역시 동구 신암동,194-1,194,1,신암건영캐스빌,83.718,2006-01-01,25,15000.0,9,2005.0,신암남로 50,,-,-,2006,179.17293771948684,2006-01-01,56.80721512,대구광역시동구
447,대구광역시 동구 신암동,461-1,461,1,신암그린타운,84.8529,2006-01-01,20,17000.0,7,2003.0,신성로 30,,-,-,2006,200.34671767258396,2006-01-01,56.80721512,대구광역시동구
1840,대구광역시 동구 신암동,483-3,483,3,강남,59.745,2006-02-01,28,6500.0,5,1992.0,신성로 60,,-,-,2006,108.7957151226044,2006-02-01,57.06789152,대구광역시동구
1841,대구광역시 동구 신암동,20,20,0,동서1,51.89,2006-02-01,23,8800.0,5,1984.0,아양로39길 16,,-,-,2006,169.58951628444788,2006-02-01,57.06789152,대구광역시동구
1842,대구광역시 동구 신암동,1525,1525,0,동서청기와,71.36,2006-02-01,10,12350.0,3,1988.0,아양로49길 20,,-,-,2006,173.06614349775785,2006-02-01,57.06789152,대구광역시동구
1843,대구광역시 동구 신암동,1525,1525,0,동서청기와,71.36,2006-02-01,13,11500.0,5,1988.0,아양로49길 20,,-,-,2006,161.15470852017938,2006-02-01,57.06789152,대구광역시동구
1844,대구광역시 동구 신암동,1525,1525,0,동서청기와,71.36,2006-02-01,16,13500.0,4,1988.0,아양로49길 20,,-,-,2006,189.1816143497758,2006-02-01,57.06789152,대구광역시동구
1845,대구광역시 동구 신암동,258-1,258,1,동원맨션,135.985,2006-02-01,18,14250.0,6,1992.0,신암남로23길 17,,-,-,2006,104.79096959223443,2006-02-01,57.06789152,대구광역시동구
1846,대구광역시 동구 신암동,362-3,362,3,드림팔레스,84.92,2006-02-01,27,11000.0,8,2003.0,신암남로28길 80-8,,-,-,2006,129.5336787564767,2006-02-01,57.06789152,대구광역시동구
1847,대구광역시 동구 신암동,622,622,0,보성1차,50.85,2006-02-01,13,7500.0,4,1985.0,큰고개로 23,,-,-,2006,147.49262536873155,2006-02-01,57.06789152,대구광역시동구
1848,대구광역시 동구 신암동,622,622,0,보성1차,68.33,2006-02-01,18,11250.0,1,1985.0,큰고개로 23,,-,-,2006,164.64217766720327,2006-02-01,57.06789152,대구광역시동구
1849,대구광역시 동구 신암동,622,622,0,보성1차,50.85,2006-02-01,21,7600.0,5,1985.0,큰고개로 23,,-,-,2006,149.45919370698132,2006-02-01,57.06789152,대구광역시동구
1850,대구광역시 동구 신암동,622,622,0,보성1차,84.99,2006-02-01,28,15000.0,1,1985.0,큰고개로 23,,-,-,2006,176.49135192375576,2006-02-01,57.06789152,대구광역시동구
1851,대구광역시 동구 신암동,67,67,0,보성2차,56.44,2006-02-01,27,8500.0,1,1988.0,아양로49길 77,,-,-,2006,150.60240963855424,2006-02-01,57.06789152,대구광역시동구
1852,대구광역시 동구 신암동,194-1,194,1,신암건영캐스빌,83.718,2006-02-01,1,15800.0,10,2005.0,신암남로 50,,-,-,2006,188.7288277311928,2006-02-01,57.06789152,대구광역시동구
1853,대구광역시 동구 신암동,194-1,194,1,신암건영캐스빌,58.61,2006-02-01,4,11800.0,13,2005.0,신암남로 50,,-,-,2006,201.3308309162259,2006-02-01,57.06789152,대구광역시동구
1854,대구광역시 동구 신암동,194-1,194,1,신암건영캐스빌,83.718,2006-02-01,6,17000.0,13,2005.0,신암남로 50,,-,-,2006,203.06266274875176,2006-02-01,57.06789152,대구광역시동구
