,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,Year,제곱미터당가격(만원),날짜,지수,행정구
448,대구광역시 동구 신천동,633,633,0,동신우방,84.87,2006-01-01,10,14600.0,16,1996.0,송라로11길 86,,-,-,2006,172.02780723459406,2006-01-01,56.80721512,대구광역시동구
449,대구광역시 동구 신천동,150-3,150,3,라임1,83.46,2006-01-01,22,12000.0,8,2003.0,국채보상로171길 36,,-,-,2006,143.78145219266716,2006-01-01,56.80721512,대구광역시동구
450,대구광역시 동구 신천동,556-1,556,1,신천LH,60.0,2006-01-01,13,7900.0,7,1989.0,동부로 1,,-,-,2006,131.66666666666666,2006-01-01,56.80721512,대구광역시동구
451,대구광역시 동구 신천동,556-1,556,1,신천LH,79.07,2006-01-01,16,11300.0,4,1989.0,동부로 1,,-,-,2006,142.9113443783989,2006-01-01,56.80721512,대구광역시동구
452,대구광역시 동구 신천동,556-1,556,1,신천LH,60.0,2006-01-01,17,8400.0,14,1989.0,동부로 1,,-,-,2006,140.0,2006-01-01,56.80721512,대구광역시동구
453,대구광역시 동구 신천동,556-1,556,1,신천LH,53.46,2006-01-01,26,7400.0,11,1989.0,동부로 1,,-,-,2006,138.42124953236063,2006-01-01,56.80721512,대구광역시동구
454,대구광역시 동구 신천동,556-1,556,1,신천LH,60.0,2006-01-01,27,7900.0,14,1989.0,동부로 1,,-,-,2006,131.66666666666666,2006-01-01,56.80721512,대구광역시동구
455,대구광역시 동구 신천동,551-23,551,23,신천가람타운,59.91,2006-01-01,15,9100.0,14,1997.0,신암로16길 33,,-,-,2006,151.89450842931063,2006-01-01,56.80721512,대구광역시동구
456,대구광역시 동구 신천동,551-23,551,23,신천가람타운,52.02,2006-01-01,16,8550.0,5,1997.0,신암로16길 16,,-,-,2006,164.3598615916955,2006-01-01,56.80721512,대구광역시동구
457,대구광역시 동구 신천동,551-23,551,23,신천가람타운,84.84,2006-01-01,24,14100.0,3,1997.0,신암로16길 16,,-,-,2006,166.1951909476662,2006-01-01,56.80721512,대구광역시동구
458,대구광역시 동구 신천동,551-23,551,23,신천가람타운,84.84,2006-01-01,25,14500.0,5,1997.0,신암로16길 16,,-,-,2006,170.9099481376709,2006-01-01,56.80721512,대구광역시동구
459,대구광역시 동구 신천동,551-23,551,23,신천가람타운,39.39,2006-01-01,28,6550.0,6,1997.0,신암로16길 17,,-,-,2006,166.28585935516628,2006-01-01,56.80721512,대구광역시동구
460,대구광역시 동구 신천동,55-1,55,1,신천빌라트,84.855,2006-01-01,12,7000.0,1,2001.0,동부로 103-18,,-,-,2006,82.49366566495786,2006-01-01,56.80721512,대구광역시동구
461,대구광역시 동구 신천동,55-1,55,1,신천빌라트,84.855,2006-01-01,20,10500.0,2,2001.0,동부로 103-18,,-,-,2006,123.7404984974368,2006-01-01,56.80721512,대구광역시동구
