,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,Year,제곱미터당가격(만원),날짜,지수,행정구
497,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-01-01,21,4800.0,15,1991.0,검단로 255,,-,-,2006,80.08008008008008,2006-01-01,56.80721512,대구광역시북구
498,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-01-01,2,5250.0,2,1992.0,검단로 115,,-,-,2006,110.54958938723941,2006-01-01,56.80721512,대구광역시북구
499,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-01-01,2,5050.0,11,1992.0,검단로 115,,-,-,2006,106.33817645820172,2006-01-01,56.80721512,대구광역시북구
500,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-01-01,4,5150.0,12,1992.0,검단로 115,,-,-,2006,108.44388292272056,2006-01-01,56.80721512,대구광역시북구
501,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-01-01,16,4800.0,9,1992.0,검단로 115,,-,-,2006,101.0739102969046,2006-01-01,56.80721512,대구광역시북구
1975,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-02-01,7,4700.0,15,1991.0,검단로 255,,-,-,2006,78.41174507841176,2006-02-01,57.06789152,대구광역시북구
1976,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-02-01,9,4800.0,6,1991.0,검단로 255,,-,-,2006,80.08008008008008,2006-02-01,57.06789152,대구광역시북구
1977,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-02-01,11,5200.0,11,1991.0,검단로 255,,-,-,2006,86.75342008675342,2006-02-01,57.06789152,대구광역시북구
1978,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-02-01,20,5000.0,2,1991.0,검단로 255,,-,-,2006,83.41675008341676,2006-02-01,57.06789152,대구광역시북구
1979,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-02-01,21,4600.0,11,1991.0,검단로 255,,-,-,2006,76.74341007674342,2006-02-01,57.06789152,대구광역시북구
1980,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-02-01,22,5000.0,15,1991.0,검단로 255,,-,-,2006,83.41675008341676,2006-02-01,57.06789152,대구광역시북구
1981,대구광역시 북구 검단동,887-8,887,8,유성청구,47.85,2006-02-01,2,5350.0,11,1992.0,검단로 115,,-,-,2006,111.80773249738766,2006-02-01,57.06789152,대구광역시북구
1982,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-02-01,11,5180.0,14,1992.0,검단로 115,,-,-,2006,109.07559486207622,2006-02-01,57.06789152,대구광역시북구
1983,대구광역시 북구 검단동,887-8,887,8,유성청구,47.85,2006-02-01,21,5500.0,12,1992.0,검단로 115,,-,-,2006,114.94252873563218,2006-02-01,57.06789152,대구광역시북구
1984,대구광역시 북구 검단동,887-8,887,8,유성청구,35.1,2006-02-01,21,3430.0,1,1992.0,검단로 115,,-,-,2006,97.72079772079772,2006-02-01,57.06789152,대구광역시북구
3900,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-03-01,1,4800.0,6,1991.0,검단로 255,,-,-,2006,80.08008008008008,2006-03-01,57.34647609,대구광역시북구
3901,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-03-01,11,5390.0,11,1991.0,검단로 255,,-,-,2006,89.92325658992326,2006-03-01,57.34647609,대구광역시북구
3902,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-03-01,13,5000.0,14,1991.0,검단로 255,,-,-,2006,83.41675008341676,2006-03-01,57.34647609,대구광역시북구
3903,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-03-01,13,5500.0,5,1991.0,검단로 255,,-,-,2006,91.75842509175843,2006-03-01,57.34647609,대구광역시북구
3904,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-03-01,27,5050.0,2,1991.0,검단로 255,,-,-,2006,84.25091758425091,2006-03-01,57.34647609,대구광역시북구
3905,대구광역시 북구 검단동,887-8,887,8,유성청구,47.85,2006-03-01,2,5500.0,5,1992.0,검단로 115,,-,-,2006,114.94252873563218,2006-03-01,57.34647609,대구광역시북구
3906,대구광역시 북구 검단동,887-8,887,8,유성청구,35.1,2006-03-01,3,3850.0,6,1992.0,검단로 115,,-,-,2006,109.68660968660969,2006-03-01,57.34647609,대구광역시북구
3907,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-03-01,4,5400.0,10,1992.0,검단로 115,,-,-,2006,113.70814908401768,2006-03-01,57.34647609,대구광역시북구
3908,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-03-01,5,5100.0,14,1992.0,검단로 115,,-,-,2006,107.39102969046114,2006-03-01,57.34647609,대구광역시북구
3909,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-03-01,8,4500.0,2,1992.0,검단로 115,,-,-,2006,94.75679090334808,2006-03-01,57.34647609,대구광역시북구
3910,대구광역시 북구 검단동,887-8,887,8,유성청구,47.85,2006-03-01,9,5200.0,14,1992.0,검단로 115,,-,-,2006,108.67293625914316,2006-03-01,57.34647609,대구광역시북구
3911,대구광역시 북구 검단동,887-8,887,8,유성청구,47.85,2006-03-01,11,5200.0,1,1992.0,검단로 115,,-,-,2006,108.67293625914316,2006-03-01,57.34647609,대구광역시북구
3912,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-03-01,11,5150.0,4,1992.0,검단로 115,,-,-,2006,108.44388292272056,2006-03-01,57.34647609,대구광역시북구
3913,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-03-01,12,5300.0,8,1992.0,검단로 115,,-,-,2006,111.60244261949883,2006-03-01,57.34647609,대구광역시북구
3914,대구광역시 북구 검단동,887-8,887,8,유성청구,47.85,2006-03-01,13,5350.0,3,1992.0,검단로 115,,-,-,2006,111.80773249738766,2006-03-01,57.34647609,대구광역시북구
3915,대구광역시 북구 검단동,887-8,887,8,유성청구,35.1,2006-03-01,20,3650.0,3,1992.0,검단로 115,,-,-,2006,103.98860398860398,2006-03-01,57.34647609,대구광역시북구
3916,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-03-01,21,5000.0,5,1992.0,검단로 115,,-,-,2006,105.28532322594229,2006-03-01,57.34647609,대구광역시북구
3917,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-03-01,27,5225.0,10,1992.0,검단로 115,,-,-,2006,110.0231627711097,2006-03-01,57.34647609,대구광역시북구
3918,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-03-01,29,5150.0,6,1992.0,검단로 115,,-,-,2006,108.44388292272056,2006-03-01,57.34647609,대구광역시북구
3919,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-03-01,29,5000.0,12,1992.0,검단로 115,,-,-,2006,105.28532322594229,2006-03-01,57.34647609,대구광역시북구
3920,대구광역시 북구 검단동,887-8,887,8,유성청구,35.1,2006-03-01,29,3700.0,4,1992.0,검단로 115,,-,-,2006,105.41310541310541,2006-03-01,57.34647609,대구광역시북구
3921,대구광역시 북구 검단동,887-8,887,8,유성청구,35.1,2006-03-01,31,3600.0,1,1992.0,검단로 115,,-,-,2006,102.56410256410255,2006-03-01,57.34647609,대구광역시북구
3922,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-03-01,31,5050.0,4,1992.0,검단로 115,,-,-,2006,106.33817645820172,2006-03-01,57.34647609,대구광역시북구
5647,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-04-01,8,5000.0,15,1991.0,검단로 255,,-,-,2006,83.41675008341676,2006-04-01,57.54743175,대구광역시북구
5648,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-04-01,10,4800.0,3,1991.0,검단로 255,,-,-,2006,80.08008008008008,2006-04-01,57.54743175,대구광역시북구
5649,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-04-01,17,4600.0,15,1991.0,검단로 255,,-,-,2006,76.74341007674342,2006-04-01,57.54743175,대구광역시북구
5650,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-04-01,27,5150.0,2,1991.0,검단로 255,,-,-,2006,85.91925258591925,2006-04-01,57.54743175,대구광역시북구
5651,대구광역시 북구 검단동,887-8,887,8,유성청구,35.1,2006-04-01,14,3850.0,13,1992.0,검단로 115,,-,-,2006,109.68660968660969,2006-04-01,57.54743175,대구광역시북구
5652,대구광역시 북구 검단동,887-8,887,8,유성청구,47.85,2006-04-01,18,5300.0,3,1992.0,검단로 115,,-,-,2006,110.76280041797283,2006-04-01,57.54743175,대구광역시북구
5653,대구광역시 북구 검단동,887-8,887,8,유성청구,47.85,2006-04-01,20,5080.0,1,1992.0,검단로 115,,-,-,2006,106.16509926854754,2006-04-01,57.54743175,대구광역시북구
5654,대구광역시 북구 검단동,887-8,887,8,유성청구,35.1,2006-04-01,25,3650.0,15,1992.0,검단로 115,,-,-,2006,103.98860398860398,2006-04-01,57.54743175,대구광역시북구
7062,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-05-01,4,5900.0,13,1991.0,검단로 255,,-,-,2006,98.43176509843177,2006-05-01,57.78075678,대구광역시북구
7063,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-05-01,12,5075.0,6,1991.0,검단로 255,,-,-,2006,84.668001334668,2006-05-01,57.78075678,대구광역시북구
7064,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-05-01,19,5300.0,14,1991.0,검단로 255,,-,-,2006,88.42175508842176,2006-05-01,57.78075678,대구광역시북구
7065,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-05-01,24,5225.0,7,1991.0,검단로 255,,-,-,2006,87.1705038371705,2006-05-01,57.78075678,대구광역시북구
7066,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-05-01,29,5100.0,5,1991.0,검단로 255,,-,-,2006,85.08508508508508,2006-05-01,57.78075678,대구광역시북구
7067,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-05-01,4,5000.0,15,1992.0,검단로 115,,-,-,2006,105.28532322594229,2006-05-01,57.78075678,대구광역시북구
7068,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-05-01,5,5300.0,13,1992.0,검단로 115,,-,-,2006,111.60244261949883,2006-05-01,57.78075678,대구광역시북구
7069,대구광역시 북구 검단동,887-8,887,8,유성청구,35.1,2006-05-01,5,3700.0,14,1992.0,검단로 115,,-,-,2006,105.41310541310541,2006-05-01,57.78075678,대구광역시북구
7070,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-05-01,14,4800.0,1,1992.0,검단로 115,,-,-,2006,101.0739102969046,2006-05-01,57.78075678,대구광역시북구
7071,대구광역시 북구 검단동,887-8,887,8,유성청구,47.85,2006-05-01,16,5330.0,8,1992.0,검단로 115,,-,-,2006,111.38975966562172,2006-05-01,57.78075678,대구광역시북구
7072,대구광역시 북구 검단동,887-8,887,8,유성청구,47.85,2006-05-01,29,5200.0,1,1992.0,검단로 115,,-,-,2006,108.67293625914316,2006-05-01,57.78075678,대구광역시북구
8146,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-07-01,13,5000.0,15,1991.0,검단로 255,,-,-,2006,83.41675008341676,2006-07-01,57.58424016,대구광역시북구
8147,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-07-01,14,5280.0,13,1992.0,검단로 115,,-,-,2006,111.18130132659506,2006-07-01,57.58424016,대구광역시북구
8148,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-07-01,22,5280.0,12,1992.0,검단로 115,,-,-,2006,111.18130132659506,2006-07-01,57.58424016,대구광역시북구
8149,대구광역시 북구 검단동,887-8,887,8,유성청구,47.85,2006-07-01,29,5350.0,2,1992.0,검단로 115,,-,-,2006,111.80773249738766,2006-07-01,57.58424016,대구광역시북구
9371,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-09-01,1,5460.0,4,1991.0,검단로 255,,-,-,2006,91.0910910910911,2006-09-01,57.3940838,대구광역시북구
9372,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-09-01,6,5150.0,8,1991.0,검단로 255,,-,-,2006,85.91925258591925,2006-09-01,57.3940838,대구광역시북구
9373,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-09-01,7,5100.0,13,1991.0,검단로 255,,-,-,2006,85.08508508508508,2006-09-01,57.3940838,대구광역시북구
9374,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-09-01,11,5400.0,10,1991.0,검단로 255,,-,-,2006,90.09009009009009,2006-09-01,57.3940838,대구광역시북구
9375,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-09-01,17,5000.0,5,1991.0,검단로 255,,-,-,2006,83.41675008341676,2006-09-01,57.3940838,대구광역시북구
9376,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-09-01,29,4900.0,2,1991.0,검단로 255,,-,-,2006,81.74841508174842,2006-09-01,57.3940838,대구광역시북구
9377,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-09-01,3,5250.0,2,1992.0,검단로 115,,-,-,2006,110.54958938723941,2006-09-01,57.3940838,대구광역시북구
9378,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-09-01,5,4900.0,1,1992.0,검단로 115,,-,-,2006,103.17961676142345,2006-09-01,57.3940838,대구광역시북구
9379,대구광역시 북구 검단동,887-8,887,8,유성청구,47.85,2006-09-01,7,5300.0,2,1992.0,검단로 115,,-,-,2006,110.76280041797283,2006-09-01,57.3940838,대구광역시북구
9380,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-09-01,9,5200.0,8,1992.0,검단로 115,,-,-,2006,109.49673615497998,2006-09-01,57.3940838,대구광역시북구
9381,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-09-01,9,5100.0,15,1992.0,검단로 115,,-,-,2006,107.39102969046114,2006-09-01,57.3940838,대구광역시북구
9382,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-09-01,10,4900.0,1,1992.0,검단로 115,,-,-,2006,103.17961676142345,2006-09-01,57.3940838,대구광역시북구
9383,대구광역시 북구 검단동,887-8,887,8,유성청구,47.85,2006-09-01,10,5100.0,1,1992.0,검단로 115,,-,-,2006,106.58307210031347,2006-09-01,57.3940838,대구광역시북구
9384,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-09-01,10,5130.0,10,1992.0,검단로 115,,-,-,2006,108.02274162981679,2006-09-01,57.3940838,대구광역시북구
9385,대구광역시 북구 검단동,887-8,887,8,유성청구,47.85,2006-09-01,14,5500.0,10,1992.0,검단로 115,,-,-,2006,114.94252873563218,2006-09-01,57.3940838,대구광역시북구
9386,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-09-01,14,4900.0,15,1992.0,검단로 115,,-,-,2006,103.17961676142345,2006-09-01,57.3940838,대구광역시북구
9387,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-09-01,15,5300.0,13,1992.0,검단로 115,,-,-,2006,111.60244261949883,2006-09-01,57.3940838,대구광역시북구
9388,대구광역시 북구 검단동,887-8,887,8,유성청구,47.85,2006-09-01,21,5500.0,4,1992.0,검단로 115,,-,-,2006,114.94252873563218,2006-09-01,57.3940838,대구광역시북구
9389,대구광역시 북구 검단동,887-8,887,8,유성청구,47.85,2006-09-01,21,5500.0,8,1992.0,검단로 115,,-,-,2006,114.94252873563218,2006-09-01,57.3940838,대구광역시북구
9390,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-09-01,22,5050.0,15,1992.0,검단로 115,,-,-,2006,106.33817645820172,2006-09-01,57.3940838,대구광역시북구
9391,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-09-01,25,5200.0,9,1992.0,검단로 115,,-,-,2006,109.49673615497998,2006-09-01,57.3940838,대구광역시북구
10995,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-10-01,17,5100.0,15,1991.0,검단로 255,,-,-,2006,85.08508508508508,2006-10-01,57.36027055,대구광역시북구
10996,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-10-01,20,5750.0,6,1991.0,검단로 255,,-,-,2006,95.92926259592926,2006-10-01,57.36027055,대구광역시북구
10997,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-10-01,27,5450.0,14,1991.0,검단로 255,,-,-,2006,90.92425759092426,2006-10-01,57.36027055,대구광역시북구
10998,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-10-01,27,5600.0,14,1991.0,검단로 255,,-,-,2006,93.42676009342676,2006-10-01,57.36027055,대구광역시북구
10999,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-10-01,10,5000.0,8,1992.0,검단로 115,,-,-,2006,105.28532322594229,2006-10-01,57.36027055,대구광역시북구
11000,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-10-01,12,5000.0,4,1992.0,검단로 115,,-,-,2006,105.28532322594229,2006-10-01,57.36027055,대구광역시북구
11001,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-10-01,13,5000.0,13,1992.0,검단로 115,,-,-,2006,105.28532322594229,2006-10-01,57.36027055,대구광역시북구
11002,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-10-01,18,5100.0,5,1992.0,검단로 115,,-,-,2006,107.39102969046114,2006-10-01,57.36027055,대구광역시북구
11003,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-10-01,18,5100.0,6,1992.0,검단로 115,,-,-,2006,107.39102969046114,2006-10-01,57.36027055,대구광역시북구
11004,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-10-01,20,5500.0,2,1992.0,검단로 115,,-,-,2006,115.81385554853652,2006-10-01,57.36027055,대구광역시북구
11005,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-10-01,20,5300.0,14,1992.0,검단로 115,,-,-,2006,111.60244261949883,2006-10-01,57.36027055,대구광역시북구
11006,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-10-01,20,5400.0,6,1992.0,검단로 115,,-,-,2006,113.70814908401768,2006-10-01,57.36027055,대구광역시북구
11007,대구광역시 북구 검단동,887-8,887,8,유성청구,47.85,2006-10-01,20,5300.0,14,1992.0,검단로 115,,-,-,2006,110.76280041797283,2006-10-01,57.36027055,대구광역시북구
11008,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-10-01,25,5950.0,6,1992.0,검단로 115,,-,-,2006,125.28953463887133,2006-10-01,57.36027055,대구광역시북구
11009,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-10-01,27,5500.0,12,1992.0,검단로 115,,-,-,2006,115.81385554853652,2006-10-01,57.36027055,대구광역시북구
11010,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-10-01,31,5000.0,15,1992.0,검단로 115,,-,-,2006,105.28532322594229,2006-10-01,57.36027055,대구광역시북구
14307,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-11-01,10,4800.0,1,1991.0,검단로 255,,-,-,2006,80.08008008008008,2006-11-01,57.34058975,대구광역시북구
14308,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-11-01,20,5450.0,14,1991.0,검단로 255,,-,-,2006,90.92425759092426,2006-11-01,57.34058975,대구광역시북구
14309,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-11-01,20,5650.0,10,1991.0,검단로 255,,-,-,2006,94.26092759426093,2006-11-01,57.34058975,대구광역시북구
14310,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-11-01,23,4500.0,15,1991.0,검단로 255,,-,-,2006,75.07507507507508,2006-11-01,57.34058975,대구광역시북구
14311,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-11-01,29,4600.0,1,1991.0,검단로 255,,-,-,2006,76.74341007674342,2006-11-01,57.34058975,대구광역시북구
14312,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-11-01,1,5200.0,5,1992.0,검단로 115,,-,-,2006,109.49673615497998,2006-11-01,57.34058975,대구광역시북구
14313,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-11-01,4,5150.0,2,1992.0,검단로 115,,-,-,2006,108.44388292272056,2006-11-01,57.34058975,대구광역시북구
14314,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-11-01,4,5100.0,1,1992.0,검단로 115,,-,-,2006,107.39102969046114,2006-11-01,57.34058975,대구광역시북구
14315,대구광역시 북구 검단동,887-8,887,8,유성청구,35.1,2006-11-01,10,3900.0,4,1992.0,검단로 115,,-,-,2006,111.1111111111111,2006-11-01,57.34058975,대구광역시북구
14316,대구광역시 북구 검단동,887-8,887,8,유성청구,47.85,2006-11-01,10,5400.0,15,1992.0,검단로 115,,-,-,2006,112.85266457680251,2006-11-01,57.34058975,대구광역시북구
14317,대구광역시 북구 검단동,887-8,887,8,유성청구,47.85,2006-11-01,10,5800.0,10,1992.0,검단로 115,,-,-,2006,121.2121212121212,2006-11-01,57.34058975,대구광역시북구
14318,대구광역시 북구 검단동,887-8,887,8,유성청구,47.85,2006-11-01,13,5580.0,7,1992.0,검단로 115,,-,-,2006,116.61442006269593,2006-11-01,57.34058975,대구광역시북구
14319,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-11-01,18,5450.0,7,1992.0,검단로 115,,-,-,2006,114.7610023162771,2006-11-01,57.34058975,대구광역시북구
14320,대구광역시 북구 검단동,887-8,887,8,유성청구,47.85,2006-11-01,18,5560.0,9,1992.0,검단로 115,,-,-,2006,116.19644723092999,2006-11-01,57.34058975,대구광역시북구
14321,대구광역시 북구 검단동,887-8,887,8,유성청구,47.85,2006-11-01,20,5200.0,8,1992.0,검단로 115,,-,-,2006,108.67293625914316,2006-11-01,57.34058975,대구광역시북구
14322,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-11-01,22,5300.0,13,1992.0,검단로 115,,-,-,2006,111.60244261949883,2006-11-01,57.34058975,대구광역시북구
14323,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-11-01,30,5630.0,9,1992.0,검단로 115,,-,-,2006,118.55127395241102,2006-11-01,57.34058975,대구광역시북구
16829,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-12-01,2,5700.0,4,1991.0,검단로 255,,-,-,2006,95.0950950950951,2006-12-01,57.34538394,대구광역시북구
16830,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-12-01,9,5350.0,15,1991.0,검단로 255,,-,-,2006,89.25592258925593,2006-12-01,57.34538394,대구광역시북구
16831,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-12-01,10,5850.0,7,1991.0,검단로 255,,-,-,2006,97.5975975975976,2006-12-01,57.34538394,대구광역시북구
16832,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-12-01,10,5000.0,14,1991.0,검단로 255,,-,-,2006,83.41675008341676,2006-12-01,57.34538394,대구광역시북구
16833,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-12-01,15,4800.0,2,1991.0,검단로 255,,-,-,2006,80.08008008008008,2006-12-01,57.34538394,대구광역시북구
16834,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-12-01,15,5000.0,8,1991.0,검단로 255,,-,-,2006,83.41675008341676,2006-12-01,57.34538394,대구광역시북구
16835,대구광역시 북구 검단동,1128-3,1128,3,민들레,59.94,2006-12-01,29,5700.0,10,1991.0,검단로 255,,-,-,2006,95.0950950950951,2006-12-01,57.34538394,대구광역시북구
16836,대구광역시 북구 검단동,887-8,887,8,유성청구,47.85,2006-12-01,1,5300.0,11,1992.0,검단로 115,,-,-,2006,110.76280041797283,2006-12-01,57.34538394,대구광역시북구
16837,대구광역시 북구 검단동,887-8,887,8,유성청구,47.49,2006-12-01,1,5000.0,12,1992.0,검단로 115,,-,-,2006,105.28532322594229,2006-12-01,57.34538394,대구광역시북구
16838,대구광역시 북구 검단동,887-8,887,8,유성청구,47.85,2006-12-01,4,5000.0,14,1992.0,검단로 115,,-,-,2006,104.4932079414838,2006-12-01,57.34538394,대구광역시북구
16839,대구광역시 북구 검단동,887-8,887,8,유성청구,47.85,2006-12-01,7,5800.0,12,1992.0,검단로 115,,-,-,2006,121.2121212121212,2006-12-01,57.34538394,대구광역시북구
