,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,Year,제곱미터당가격(만원),날짜,지수,행정구
534,대구광역시 북구 대현동,112-42,112,42,신화맨션,60.0,2006-01-01,20,7900.0,12,1994.0,경대로5길 25,,-,-,2006,131.66666666666666,2006-01-01,56.80721512,대구광역시북구
3990,대구광역시 북구 대현동,270-9,270,9,신영푸른마을,84.698,2006-03-01,14,11500.0,2,2003.0,대현로 106,,-,-,2006,135.77652364872844,2006-03-01,57.34647609,대구광역시북구
3991,대구광역시 북구 대현동,270-9,270,9,신영푸른마을,84.698,2006-03-01,16,8500.0,2,2003.0,대현로 106,,-,-,2006,100.3565609577558,2006-03-01,57.34647609,대구광역시북구
3992,대구광역시 북구 대현동,190-1,190,1,신화,131.748,2006-03-01,15,14500.0,3,1992.0,대현로19길 23,,-,-,2006,110.05859671494065,2006-03-01,57.34647609,대구광역시북구
9442,대구광역시 북구 대현동,112-70,112,70,대산조합,68.05,2006-09-01,5,6900.0,1,1992.0,대현로21길 20,,-,-,2006,101.39603232916973,2006-09-01,57.3940838,대구광역시북구
9443,대구광역시 북구 대현동,112-42,112,42,신화맨션,84.98,2006-09-01,30,10800.0,1,1994.0,경대로5길 25,,-,-,2006,127.08872675923746,2006-09-01,57.3940838,대구광역시북구
11071,대구광역시 북구 대현동,25-13,25,13,성지무궁타운,84.995,2006-10-01,16,8000.0,2,1992.0,경대로7길 60,,-,-,2006,94.12318371668921,2006-10-01,57.36027055,대구광역시북구
11072,대구광역시 북구 대현동,270-9,270,9,신영푸른마을,84.698,2006-10-01,30,9900.0,4,2003.0,대현로 106,,-,-,2006,116.8858768802097,2006-10-01,57.36027055,대구광역시북구
14413,대구광역시 북구 대현동,480-16,480,16,서경리버빌,81.17,2006-11-01,14,10000.0,4,2001.0,신천동로 732,,-,-,2006,123.19822594554638,2006-11-01,57.34058975,대구광역시북구
14414,대구광역시 북구 대현동,25-13,25,13,성지무궁타운,84.995,2006-11-01,3,7000.0,5,1992.0,경대로7길 60,,-,-,2006,82.35778575210306,2006-11-01,57.34058975,대구광역시북구
14415,대구광역시 북구 대현동,112-42,112,42,신화맨션,60.0,2006-11-01,17,8200.0,8,1994.0,경대로5길 25,,-,-,2006,136.66666666666666,2006-11-01,57.34058975,대구광역시북구
16941,대구광역시 북구 대현동,112-42,112,42,신화맨션,84.98,2006-12-01,22,11400.0,14,1994.0,경대로5길 25,,-,-,2006,134.1492115791951,2006-12-01,57.34538394,대구광역시북구
20862,대구광역시 북구 대현동,527,527,0,대현뜨란채,84.95,2007-07-01,30,19000.0,8,2006.0,대현남로 28,,-,-,2007,223.66097704532078,2007-07-01,56.28218301,대구광역시북구
20863,대구광역시 북구 대현동,25-13,25,13,성지무궁타운,84.995,2007-07-01,21,8800.0,6,1992.0,경대로7길 60,,-,-,2007,103.53550208835813,2007-07-01,56.28218301,대구광역시북구
20864,대구광역시 북구 대현동,112-42,112,42,신화맨션,84.98,2007-07-01,31,11000.0,11,1994.0,경대로5길 25,,-,-,2007,129.44222169922335,2007-07-01,56.28218301,대구광역시북구
22658,대구광역시 북구 대현동,527,527,0,대현뜨란채,84.95,2007-01-01,15,16000.0,7,2006.0,대현남로 28,,-,-,2007,188.3460859329017,2007-01-01,57.31846862,대구광역시북구
24344,대구광역시 북구 대현동,215-2,215,2,대현(215-2),47.07,2007-03-01,2,5230.0,3,1980.0,대현로19길 15,,-,-,2007,111.11111111111111,2007-03-01,57.08749012,대구광역시북구
24345,대구광역시 북구 대현동,527,527,0,대현뜨란채,75.78,2007-03-01,26,13650.0,16,2006.0,대현남로 28,,-,-,2007,180.12668250197942,2007-03-01,57.08749012,대구광역시북구
24346,대구광역시 북구 대현동,112-42,112,42,신화맨션,60.0,2007-03-01,21,8000.0,2,1994.0,경대로5길 25,,-,-,2007,133.33333333333334,2007-03-01,57.08749012,대구광역시북구
25825,대구광역시 북구 대현동,527,527,0,대현뜨란채,75.78,2007-04-01,7,15500.0,20,2006.0,대현남로 28,,-,-,2007,204.539456320929,2007-04-01,56.86922921,대구광역시북구
25826,대구광역시 북구 대현동,25-13,25,13,성지무궁타운,84.995,2007-04-01,28,8100.0,10,1992.0,경대로7길 60,,-,-,2007,95.29972351314782,2007-04-01,56.86922921,대구광역시북구
25827,대구광역시 북구 대현동,112-42,112,42,신화맨션,84.98,2007-04-01,26,11800.0,16,1994.0,경대로5길 25,,-,-,2007,138.85620145916687,2007-04-01,56.86922921,대구광역시북구
25828,대구광역시 북구 대현동,480-4,480,4,환인골든빌라트,78.0349,2007-04-01,18,8000.0,3,2002.0,신천동로 732-1,,-,-,2007,102.51823222686261,2007-04-01,56.86922921,대구광역시북구
28057,대구광역시 북구 대현동,527,527,0,대현뜨란채,75.78,2007-06-01,21,15000.0,11,2006.0,대현남로 28,,-,-,2007,197.9414093428345,2007-06-01,56.49345407,대구광역시북구
28058,대구광역시 북구 대현동,527,527,0,대현뜨란채,84.77,2007-06-01,28,18500.0,9,2006.0,대현남로 28,,-,-,2007,218.23758405096143,2007-06-01,56.49345407,대구광역시북구
28059,대구광역시 북구 대현동,112-42,112,42,신화맨션,60.0,2007-06-01,13,8000.0,3,1994.0,경대로5길 25,,-,-,2007,133.33333333333334,2007-06-01,56.49345407,대구광역시북구
29343,대구광역시 북구 대현동,527,527,0,대현뜨란채,59.44,2007-08-01,8,11800.0,3,2006.0,대현남로 28,,-,-,2007,198.51951547779274,2007-08-01,56.16351502,대구광역시북구
29344,대구광역시 북구 대현동,112-42,112,42,신화맨션,134.62,2007-08-01,13,13800.0,1,1994.0,경대로5길 25,,-,-,2007,102.51077105927797,2007-08-01,56.16351502,대구광역시북구
31643,대구광역시 북구 대현동,527,527,0,대현뜨란채,108.95,2007-11-01,21,24000.0,11,2006.0,대현남로 28,,-,-,2007,220.2845341899954,2007-11-01,55.85788472,대구광역시북구
31644,대구광역시 북구 대현동,480-16,480,16,서경리버빌,81.17,2007-11-01,24,9900.0,4,2001.0,신천동로 732,,-,-,2007,121.96624368609092,2007-11-01,55.85788472,대구광역시북구
31645,대구광역시 북구 대현동,25-13,25,13,성지무궁타운,84.995,2007-11-01,2,8300.0,8,1992.0,경대로7길 60,,-,-,2007,97.65280310606505,2007-11-01,55.85788472,대구광역시북구
31646,대구광역시 북구 대현동,25-13,25,13,성지무궁타운,84.195,2007-11-01,17,8200.0,10,1992.0,경대로7길 60,,-,-,2007,97.39295682641487,2007-11-01,55.85788472,대구광역시북구
31647,대구광역시 북구 대현동,270-9,270,9,신영푸른마을,84.698,2007-11-01,30,13500.0,4,2003.0,대현로 106,,-,-,2007,159.38983210937687,2007-11-01,55.85788472,대구광역시북구
34553,대구광역시 북구 대현동,25-13,25,13,성지무궁타운,140.3175,2007-09-01,22,13000.0,6,1992.0,경대로7길 60,,-,-,2007,92.64703262244552,2007-09-01,56.06914493,대구광역시북구
36766,대구광역시 북구 대현동,25-13,25,13,성지무궁타운,140.3175,2007-12-01,7,10000.0,4,1992.0,경대로7길 60,,-,-,2007,71.26694817111195,2007-12-01,55.7187225,대구광역시북구
36767,대구광역시 북구 대현동,270-9,270,9,신영푸른마을,84.698,2007-12-01,29,12900.0,6,2003.0,대현로 106,,-,-,2007,152.30583957118233,2007-12-01,55.7187225,대구광역시북구
38437,대구광역시 북구 대현동,112-70,112,70,대산조합,59.07,2007-05-01,12,6150.0,4,1992.0,대현로21길 20,,-,-,2007,104.11376333164043,2007-05-01,56.67768634,대구광역시북구
38438,대구광역시 북구 대현동,112-42,112,42,신화맨션,60.0,2007-05-01,8,7950.0,3,1994.0,경대로5길 25,,-,-,2007,132.5,2007-05-01,56.67768634,대구광역시북구
40157,대구광역시 북구 대현동,527,527,0,대현뜨란채,108.95,2007-10-01,12,23500.0,8,2006.0,대현남로 28,,-,-,2007,215.69527306103717,2007-10-01,55.98447384,대구광역시북구
40158,대구광역시 북구 대현동,527,527,0,대현뜨란채,84.45,2007-10-01,14,16500.0,1,2006.0,대현남로 28,,-,-,2007,195.38188277087033,2007-10-01,55.98447384,대구광역시북구
40159,대구광역시 북구 대현동,527,527,0,대현뜨란채,84.95,2007-10-01,28,17400.0,2,2006.0,대현남로 28,,-,-,2007,204.8263684520306,2007-10-01,55.98447384,대구광역시북구
40160,대구광역시 북구 대현동,112-42,112,42,신화맨션,60.0,2007-10-01,21,8000.0,18,1994.0,경대로5길 25,,-,-,2007,133.33333333333334,2007-10-01,55.98447384,대구광역시북구
40161,대구광역시 북구 대현동,112-42,112,42,신화맨션,84.98,2007-10-01,22,12000.0,7,1994.0,경대로5길 25,,-,-,2007,141.20969639915273,2007-10-01,55.98447384,대구광역시북구
41753,대구광역시 북구 대현동,521,521,0,대현e-편한세상,112.4197,2008-10-01,17,27700.0,16,2008.0,대현로10길 82,,-,-,2008,246.39809570742494,2008-10-01,54.61268755,대구광역시북구
41754,대구광역시 북구 대현동,521,521,0,대현e-편한세상,84.7511,2008-10-01,31,21050.0,18,2008.0,대현로10길 82,,-,-,2008,248.37435738297205,2008-10-01,54.61268755,대구광역시북구
41755,대구광역시 북구 대현동,527,527,0,대현뜨란채,84.95,2008-10-01,2,17800.0,14,2006.0,대현남로 28,,-,-,2008,209.53502060035314,2008-10-01,54.61268755,대구광역시북구
41756,대구광역시 북구 대현동,527,527,0,대현뜨란채,59.92,2008-10-01,29,13100.0,15,2006.0,대현남로 28,,-,-,2008,218.62483311081442,2008-10-01,54.61268755,대구광역시북구
41757,대구광역시 북구 대현동,270-9,270,9,신영푸른마을,84.698,2008-10-01,1,13800.0,11,2003.0,대현로 106,,-,-,2008,162.9318283784741,2008-10-01,54.61268755,대구광역시북구
41758,대구광역시 북구 대현동,112-42,112,42,신화맨션,84.98,2008-10-01,1,13300.0,9,1994.0,경대로5길 25,,-,-,2008,156.50741350906094,2008-10-01,54.61268755,대구광역시북구
43535,대구광역시 북구 대현동,25-13,25,13,성지무궁타운,84.995,2008-01-01,2,8300.0,5,1992.0,경대로7길 60,,-,-,2008,97.65280310606505,2008-01-01,55.58457985,대구광역시북구
43536,대구광역시 북구 대현동,270-9,270,9,신영푸른마을,84.698,2008-01-01,16,11500.0,11,2003.0,대현로 106,,-,-,2008,135.77652364872844,2008-01-01,55.58457985,대구광역시북구
43537,대구광역시 북구 대현동,112-42,112,42,신화맨션,60.0,2008-01-01,11,5000.0,1,1994.0,경대로5길 25,,-,-,2008,83.33333333333333,2008-01-01,55.58457985,대구광역시북구
43538,대구광역시 북구 대현동,112-42,112,42,신화맨션,60.0,2008-01-01,26,8250.0,7,1994.0,경대로5길 25,,-,-,2008,137.5,2008-01-01,55.58457985,대구광역시북구
46472,대구광역시 북구 대현동,527,527,0,대현뜨란채,59.44,2008-02-01,5,12200.0,9,2006.0,대현남로 28,,-,-,2008,205.24899057873486,2008-02-01,55.48178591,대구광역시북구
46473,대구광역시 북구 대현동,527,527,0,대현뜨란채,84.95,2008-02-01,26,18000.0,9,2006.0,대현남로 28,,-,-,2008,211.8893466745144,2008-02-01,55.48178591,대구광역시북구
46474,대구광역시 북구 대현동,25-13,25,13,성지무궁타운,84.995,2008-02-01,15,8500.0,9,1992.0,경대로7길 60,,-,-,2008,100.00588269898229,2008-02-01,55.48178591,대구광역시북구
46475,대구광역시 북구 대현동,270-9,270,9,신영푸른마을,84.698,2008-02-01,29,12000.0,10,2003.0,대현로 106,,-,-,2008,141.67985076389053,2008-02-01,55.48178591,대구광역시북구
48859,대구광역시 북구 대현동,527,527,0,대현뜨란채,75.78,2008-03-01,3,14000.0,10,2006.0,대현남로 28,,-,-,2008,184.74531538664556,2008-03-01,55.41245583,대구광역시북구
48860,대구광역시 북구 대현동,527,527,0,대현뜨란채,108.95,2008-03-01,20,22200.0,2,2006.0,대현남로 28,,-,-,2008,203.76319412574574,2008-03-01,55.41245583,대구광역시북구
48861,대구광역시 북구 대현동,527,527,0,대현뜨란채,84.45,2008-03-01,22,17500.0,3,2006.0,대현남로 28,,-,-,2008,207.22320899940792,2008-03-01,55.41245583,대구광역시북구
48862,대구광역시 북구 대현동,270-9,270,9,신영푸른마을,84.698,2008-03-01,11,13800.0,6,2003.0,대현로 106,,-,-,2008,162.9318283784741,2008-03-01,55.41245583,대구광역시북구
48863,대구광역시 북구 대현동,270-9,270,9,신영푸른마을,84.698,2008-03-01,13,12500.0,10,2003.0,대현로 106,,-,-,2008,147.58317787905264,2008-03-01,55.41245583,대구광역시북구
48864,대구광역시 북구 대현동,270-9,270,9,신영푸른마을,84.698,2008-03-01,21,13400.0,5,2003.0,대현로 106,,-,-,2008,158.20916668634445,2008-03-01,55.41245583,대구광역시북구
48865,대구광역시 북구 대현동,190-1,190,1,신화,131.748,2008-03-01,10,19000.0,5,1992.0,대현로19길 23,,-,-,2008,144.21471293681878,2008-03-01,55.41245583,대구광역시북구
48866,대구광역시 북구 대현동,112-42,112,42,신화맨션,84.98,2008-03-01,26,12250.0,15,1994.0,경대로5길 25,,-,-,2008,144.15156507413508,2008-03-01,55.41245583,대구광역시북구
50952,대구광역시 북구 대현동,527,527,0,대현뜨란채,84.95,2008-05-01,9,16500.0,5,2006.0,대현남로 28,,-,-,2008,194.23190111830488,2008-05-01,55.20256247,대구광역시북구
50953,대구광역시 북구 대현동,270-9,270,9,신영푸른마을,84.698,2008-05-01,17,14300.0,9,2003.0,대현로 106,,-,-,2008,168.83515549363622,2008-05-01,55.20256247,대구광역시북구
