,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,Year,제곱미터당가격(만원),날짜,지수
538,대구광역시 북구 동천동,872,872,0,보성서한타운,42.68,2006-01-01,7,4600.0,1,1995.0,팔거천동로 104,,-,-,2006,107.7788191190253,2006-01-01,56.80721512
539,대구광역시 북구 동천동,872,872,0,보성서한타운,42.68,2006-01-01,25,5600.0,11,1995.0,팔거천동로 104,,-,-,2006,131.20899718837865,2006-01-01,56.80721512
540,대구광역시 북구 동천동,914,914,0,부영그린타운(2단지),59.8488,2006-01-01,7,11900.0,16,2003.0,동천로24길 12,,-,-,2006,198.83439601128177,2006-01-01,56.80721512
541,대구광역시 북구 동천동,914,914,0,부영그린타운(2단지),59.8488,2006-01-01,11,11800.0,4,2003.0,동천로24길 12,,-,-,2006,197.16351873387603,2006-01-01,56.80721512
542,대구광역시 북구 동천동,914,914,0,부영그린타운(2단지),59.8488,2006-01-01,22,10600.0,1,2003.0,동천로24길 12,,-,-,2006,177.1129914050073,2006-01-01,56.80721512
543,대구광역시 북구 동천동,913,913,0,영남네오빌아트,84.8526,2006-01-01,25,20000.0,12,2004.0,동천로 97,,-,-,2006,235.70285412586063,2006-01-01,56.80721512
544,대구광역시 북구 동천동,880-1,880,1,칠곡2영남타운,39.96,2006-01-01,26,4900.0,9,1996.0,팔거천동로24길 40,,-,-,2006,122.62262262262261,2006-01-01,56.80721512
545,대구광역시 북구 동천동,915,915,0,칠곡3화성타운,84.8,2006-01-01,17,16400.0,14,1999.0,대천로 101,,-,-,2006,193.39622641509433,2006-01-01,56.80721512
546,대구광역시 북구 동천동,915,915,0,칠곡3화성타운,59.91,2006-01-01,18,11000.0,4,1999.0,대천로 101,,-,-,2006,183.60874645301286,2006-01-01,56.80721512
547,대구광역시 북구 동천동,915,915,0,칠곡3화성타운,59.91,2006-01-01,27,11450.0,5,1999.0,대천로 101,,-,-,2006,191.1200133533634,2006-01-01,56.80721512
548,대구광역시 북구 동천동,889,889,0,칠곡우방하이츠,59.96,2006-01-01,7,10300.0,15,1999.0,구리로 26,,-,-,2006,171.78118745830554,2006-01-01,56.80721512
549,대구광역시 북구 동천동,889,889,0,칠곡우방하이츠,59.96,2006-01-01,9,10550.0,10,1999.0,구리로 26,,-,-,2006,175.95063375583723,2006-01-01,56.80721512
550,대구광역시 북구 동천동,889,889,0,칠곡우방하이츠,34.44,2006-01-01,11,5480.0,3,1999.0,구리로 26,,-,-,2006,159.1173054587689,2006-01-01,56.80721512
551,대구광역시 북구 동천동,880-3,880,3,칠곡화성타운2차,41.62,2006-01-01,6,5700.0,1,1995.0,동천로 6,,-,-,2006,136.95338779432967,2006-01-01,56.80721512
552,대구광역시 북구 동천동,880-3,880,3,칠곡화성타운2차,35.44,2006-01-01,11,4800.0,7,1995.0,동천로 6,,-,-,2006,135.44018058690745,2006-01-01,56.80721512
553,대구광역시 북구 동천동,880-3,880,3,칠곡화성타운2차,59.99,2006-01-01,13,9060.0,5,1995.0,동천로 6,,-,-,2006,151.0251708618103,2006-01-01,56.80721512
554,대구광역시 북구 동천동,880-3,880,3,칠곡화성타운2차,41.62,2006-01-01,17,6400.0,17,1995.0,동천로 6,,-,-,2006,153.77222489187892,2006-01-01,56.80721512
555,대구광역시 북구 동천동,880-3,880,3,칠곡화성타운2차,41.62,2006-01-01,20,6400.0,7,1995.0,동천로 6,,-,-,2006,153.77222489187892,2006-01-01,56.80721512
556,대구광역시 북구 동천동,950,950,0,화성센트럴파크,59.963,2006-01-01,10,13500.0,6,2003.0,대천로 100,,-,-,2006,225.1388356152961,2006-01-01,56.80721512
557,대구광역시 북구 동천동,950,950,0,화성센트럴파크,84.9823,2006-01-01,23,19650.0,15,2003.0,대천로 100,,-,-,2006,231.22461971492888,2006-01-01,56.80721512
2030,대구광역시 북구 동천동,872,872,0,보성서한타운,42.68,2006-02-01,3,5250.0,2,1995.0,팔거천동로 104,,-,-,2006,123.00843486410497,2006-02-01,57.06789152
2031,대구광역시 북구 동천동,872,872,0,보성서한타운,42.68,2006-02-01,3,5200.0,1,1995.0,팔거천동로 104,,-,-,2006,121.8369259606373,2006-02-01,57.06789152
2032,대구광역시 북구 동천동,872,872,0,보성서한타운,42.68,2006-02-01,16,5600.0,12,1995.0,팔거천동로 104,,-,-,2006,131.20899718837865,2006-02-01,57.06789152
2033,대구광역시 북구 동천동,872,872,0,보성서한타운,42.68,2006-02-01,28,5700.0,11,1995.0,팔거천동로 104,,-,-,2006,133.55201499531395,2006-02-01,57.06789152
2034,대구광역시 북구 동천동,914,914,0,부영그린타운(2단지),81.1718,2006-02-01,9,15000.0,5,2003.0,동천로24길 12,,-,-,2006,184.7932410024171,2006-02-01,57.06789152
2035,대구광역시 북구 동천동,914,914,0,부영그린타운(2단지),81.1718,2006-02-01,16,17100.0,4,2003.0,동천로24길 12,,-,-,2006,210.6642947427555,2006-02-01,57.06789152
2036,대구광역시 북구 동천동,914,914,0,부영그린타운(2단지),59.8488,2006-02-01,16,12800.0,10,2003.0,동천로24길 12,,-,-,2006,213.87229150793334,2006-02-01,57.06789152
2037,대구광역시 북구 동천동,914,914,0,부영그린타운(2단지),59.8488,2006-02-01,16,11800.0,8,2003.0,동천로24길 12,,-,-,2006,197.16351873387603,2006-02-01,57.06789152
2038,대구광역시 북구 동천동,914,914,0,부영그린타운(2단지),81.1718,2006-02-01,19,14500.0,8,2003.0,동천로24길 12,,-,-,2006,178.63346630233653,2006-02-01,57.06789152
2039,대구광역시 북구 동천동,914,914,0,부영그린타운(2단지),59.8488,2006-02-01,22,11450.0,7,2003.0,동천로24길 12,,-,-,2006,191.31544826295598,2006-02-01,57.06789152
2040,대구광역시 북구 동천동,913,913,0,영남네오빌아트,84.8526,2006-02-01,6,19500.0,2,2004.0,동천로 97,,-,-,2006,229.81028277271412,2006-02-01,57.06789152
2041,대구광역시 북구 동천동,880-1,880,1,칠곡2영남타운,39.96,2006-02-01,4,5350.0,11,1996.0,팔거천동로24길 40,,-,-,2006,133.88388388388387,2006-02-01,57.06789152
2042,대구광역시 북구 동천동,880-1,880,1,칠곡2영남타운,60.0,2006-02-01,11,9550.0,16,1996.0,팔거천동로24길 40,,-,-,2006,159.16666666666666,2006-02-01,57.06789152
2043,대구광역시 북구 동천동,880-1,880,1,칠곡2영남타운,60.0,2006-02-01,21,9070.0,9,1996.0,팔거천동로24길 40,,-,-,2006,151.16666666666666,2006-02-01,57.06789152
2044,대구광역시 북구 동천동,880-1,880,1,칠곡2영남타운,39.96,2006-02-01,24,5480.0,12,1996.0,팔거천동로24길 40,,-,-,2006,137.13713713713713,2006-02-01,57.06789152
2045,대구광역시 북구 동천동,915,915,0,칠곡3화성타운,59.91,2006-02-01,3,11300.0,16,1999.0,대천로 101,,-,-,2006,188.61625771991322,2006-02-01,57.06789152
2046,대구광역시 북구 동천동,915,915,0,칠곡3화성타운,84.96,2006-02-01,19,16450.0,8,1999.0,대천로 101,,-,-,2006,193.620527306968,2006-02-01,57.06789152
