,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,Year,제곱미터당가격(만원),날짜,지수
2062,대구광역시 북구 매천동,595-2,595,2,삼우그린,84.96,2006-02-01,5,9600.0,1,1996.0,매천로8길 35,,-,-,2006,112.99435028248588,2006-02-01,57.06789152
2063,대구광역시 북구 매천동,595,595,0,청구장미마을,59.99,2006-02-01,9,8450.0,7,1996.0,칠곡중앙대로 45,,-,-,2006,140.8568094682447,2006-02-01,57.06789152
2064,대구광역시 북구 매천동,595,595,0,청구장미마을,59.99,2006-02-01,28,8450.0,16,1996.0,칠곡중앙대로 45,,-,-,2006,140.8568094682447,2006-02-01,57.06789152
4023,대구광역시 북구 매천동,595,595,0,청구장미마을,84.96,2006-03-01,3,11350.0,2,1996.0,칠곡중앙대로 45,,-,-,2006,133.59227871939737,2006-03-01,57.34647609
4024,대구광역시 북구 매천동,595,595,0,청구장미마을,84.96,2006-03-01,6,12100.0,5,1996.0,칠곡중앙대로 45,,-,-,2006,142.41996233521658,2006-03-01,57.34647609
4025,대구광역시 북구 매천동,595,595,0,청구장미마을,84.96,2006-03-01,10,12750.0,14,1996.0,칠곡중앙대로 45,,-,-,2006,150.07062146892656,2006-03-01,57.34647609
4026,대구광역시 북구 매천동,595,595,0,청구장미마을,59.99,2006-03-01,20,8500.0,14,1996.0,칠곡중앙대로 45,,-,-,2006,141.69028171361893,2006-03-01,57.34647609
4027,대구광역시 북구 매천동,595,595,0,청구장미마을,59.99,2006-03-01,28,8150.0,2,1996.0,칠곡중앙대로 45,,-,-,2006,135.85597599599933,2006-03-01,57.34647609
5749,대구광역시 북구 매천동,595,595,0,청구장미마을,59.99,2006-04-01,1,8400.0,6,1996.0,칠곡중앙대로 45,,-,-,2006,140.02333722287048,2006-04-01,57.54743175
5750,대구광역시 북구 매천동,595,595,0,청구장미마을,59.99,2006-04-01,6,7580.0,1,1996.0,칠곡중앙대로 45,,-,-,2006,126.35439239873311,2006-04-01,57.54743175
5751,대구광역시 북구 매천동,595,595,0,청구장미마을,84.96,2006-04-01,28,13070.0,12,1996.0,칠곡중앙대로 45,,-,-,2006,153.8370998116761,2006-04-01,57.54743175
7120,대구광역시 북구 매천동,595-2,595,2,삼우그린,59.96,2006-05-01,1,7560.0,13,1996.0,매천로8길 35,,-,-,2006,126.08405603735824,2006-05-01,57.78075678
7121,대구광역시 북구 매천동,595,595,0,청구장미마을,59.99,2006-05-01,1,8000.0,19,1996.0,칠곡중앙대로 45,,-,-,2006,133.35555925987663,2006-05-01,57.78075678
8193,대구광역시 북구 매천동,595,595,0,청구장미마을,59.99,2006-07-01,14,8200.0,8,1996.0,칠곡중앙대로 45,,-,-,2006,136.68944824137355,2006-07-01,57.58424016
9488,대구광역시 북구 매천동,595,595,0,청구장미마을,59.99,2006-09-01,12,8100.0,17,1996.0,칠곡중앙대로 45,,-,-,2006,135.0225037506251,2006-09-01,57.3940838
9489,대구광역시 북구 매천동,595,595,0,청구장미마을,84.96,2006-09-01,14,11000.0,8,1996.0,칠곡중앙대로 45,,-,-,2006,129.4726930320151,2006-09-01,57.3940838
9490,대구광역시 북구 매천동,595,595,0,청구장미마을,59.99,2006-09-01,21,7550.0,1,1996.0,칠곡중앙대로 45,,-,-,2006,125.85430905150858,2006-09-01,57.3940838
9491,대구광역시 북구 매천동,595,595,0,청구장미마을,59.99,2006-09-01,28,8350.0,15,1996.0,칠곡중앙대로 45,,-,-,2006,139.18986497749626,2006-09-01,57.3940838
9492,대구광역시 북구 매천동,595,595,0,청구장미마을,59.99,2006-09-01,29,9100.0,9,1996.0,칠곡중앙대로 45,,-,-,2006,151.69194865810968,2006-09-01,57.3940838
11128,대구광역시 북구 매천동,595,595,0,청구장미마을,84.96,2006-10-01,19,11500.0,11,1996.0,칠곡중앙대로 45,,-,-,2006,135.35781544256122,2006-10-01,57.36027055
