,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,Year,제곱미터당가격(만원),날짜,지수
620,대구광역시 북구 태전동,489,489,0,두성파크2,84.79,2006-01-01,12,9300.0,17,1993.0,학정로13길 16,,-,-,2006,109.68274560679325,2006-01-01,56.80721512
621,대구광역시 북구 태전동,1075-10,1075,10,미진타운,59.98,2006-01-01,10,6800.0,12,1993.0,칠곡중앙대로52길 46,,-,-,2006,113.37112370790264,2006-01-01,56.80721512
622,대구광역시 북구 태전동,1075-10,1075,10,미진타운,84.94,2006-01-01,10,10700.0,14,1993.0,칠곡중앙대로52길 46,,-,-,2006,125.97127384035791,2006-01-01,56.80721512
623,대구광역시 북구 태전동,608-5,608,5,삼성,59.76,2006-01-01,16,7500.0,21,1994.0,칠곡중앙대로52길 20,,-,-,2006,125.50200803212851,2006-01-01,56.80721512
624,대구광역시 북구 태전동,608-5,608,5,삼성,59.76,2006-01-01,18,7600.0,5,1994.0,칠곡중앙대로52길 20,,-,-,2006,127.17536813922356,2006-01-01,56.80721512
625,대구광역시 북구 태전동,678,678,0,우방타운2,59.94,2006-01-01,20,7450.0,8,1993.0,칠곡중앙대로53길 29,,-,-,2006,124.29095762429097,2006-01-01,56.80721512
626,대구광역시 북구 태전동,1065-1,1065,1,칠곡관음타운,59.78,2006-01-01,17,7500.0,7,1995.0,영송로 63,,-,-,2006,125.4600200736032,2006-01-01,56.80721512
627,대구광역시 북구 태전동,997-1,997,1,칠곡에덴타운,60.0,2006-01-01,7,8550.0,8,1993.0,구암로22길 14,,-,-,2006,142.5,2006-01-01,56.80721512
628,대구광역시 북구 태전동,997-1,997,1,칠곡에덴타운,84.96,2006-01-01,15,11680.0,10,1993.0,구암로22길 14,,-,-,2006,137.4764595103578,2006-01-01,56.80721512
629,대구광역시 북구 태전동,997-1,997,1,칠곡에덴타운,84.96,2006-01-01,17,10950.0,14,1993.0,구암로22길 14,,-,-,2006,128.88418079096047,2006-01-01,56.80721512
630,대구광역시 북구 태전동,442,442,0,태전3우방타운,84.97,2006-01-01,19,14000.0,18,1999.0,학정로 126,,-,-,2006,164.76403436507002,2006-01-01,56.80721512
631,대구광역시 북구 태전동,442,442,0,태전3우방타운,84.97,2006-01-01,22,14800.0,13,1999.0,학정로 126,,-,-,2006,174.17912204307402,2006-01-01,56.80721512
632,대구광역시 북구 태전동,936-1,936,1,한신중앙,47.25,2006-01-01,3,6030.0,14,1993.0,영송로 85,,-,-,2006,127.61904761904762,2006-01-01,56.80721512
633,대구광역시 북구 태전동,997,997,0,현대,96.63,2006-01-01,25,14600.0,13,1993.0,구암로16길 7,,-,-,2006,151.09179343889062,2006-01-01,56.80721512
634,대구광역시 북구 태전동,532-1,532,1,현대전원,76.29,2006-01-01,3,8150.0,4,1990.0,칠곡중앙대로46길 25,,-,-,2006,106.82920435181543,2006-01-01,56.80721512
635,대구광역시 북구 태전동,532-1,532,1,현대전원,84.99,2006-01-01,25,9450.0,15,1990.0,칠곡중앙대로46길 25,,-,-,2006,111.18955171196612,2006-01-01,56.80721512
636,대구광역시 북구 태전동,532-1,532,1,현대전원,76.29,2006-01-01,27,8200.0,9,1990.0,칠곡중앙대로46길 25,,-,-,2006,107.48459824354435,2006-01-01,56.80721512
637,대구광역시 북구 태전동,881-3,881,3,협화맨션,84.97,2006-01-01,13,10200.0,3,1992.0,칠곡중앙대로51길 6,,-,-,2006,120.04236789455102,2006-01-01,56.80721512
2173,대구광역시 북구 태전동,256-1,256,1,두성타운,84.93,2006-02-01,13,8850.0,8,1992.0,태전로7길 10-17,,-,-,2006,104.20346167432002,2006-02-01,57.06789152
2174,대구광역시 북구 태전동,256-1,256,1,두성타운,67.92,2006-02-01,15,6750.0,3,1992.0,태전로7길 10-17,,-,-,2006,99.38162544169612,2006-02-01,57.06789152
2175,대구광역시 북구 태전동,936,936,0,롯데,84.99,2006-02-01,1,10500.0,9,1993.0,구암로 12,,-,-,2006,123.54394634662903,2006-02-01,57.06789152
2176,대구광역시 북구 태전동,1075-10,1075,10,미진타운,59.98,2006-02-01,7,6450.0,2,1993.0,칠곡중앙대로52길 46,,-,-,2006,107.53584528176059,2006-02-01,57.06789152
2177,대구광역시 북구 태전동,608-5,608,5,삼성,59.76,2006-02-01,3,7250.0,1,1994.0,칠곡중앙대로52길 20,,-,-,2006,121.3186077643909,2006-02-01,57.06789152
2178,대구광역시 북구 태전동,169-2,169,2,우방타운,164.07,2006-02-01,10,22000.0,13,1992.0,매천로 220,,-,-,2006,134.08910830742977,2006-02-01,57.06789152
2179,대구광역시 북구 태전동,169-2,169,2,우방타운,59.985,2006-02-01,13,7250.0,4,1992.0,매천로 220,,-,-,2006,120.86354922063849,2006-02-01,57.06789152
2180,대구광역시 북구 태전동,695,695,0,중석타운,59.88,2006-02-01,22,8500.0,12,1995.0,학정로7길 3,,-,-,2006,141.9505678022712,2006-02-01,57.06789152
2181,대구광역시 북구 태전동,1066,1066,0,칠곡대백맨션,59.94,2006-02-01,27,7450.0,7,1993.0,관음로 24,,-,-,2006,124.29095762429097,2006-02-01,57.06789152
2182,대구광역시 북구 태전동,997-1,997,1,칠곡에덴타운,60.0,2006-02-01,1,8900.0,11,1993.0,구암로22길 14,,-,-,2006,148.33333333333334,2006-02-01,57.06789152
2183,대구광역시 북구 태전동,997-1,997,1,칠곡에덴타운,84.96,2006-02-01,2,11950.0,11,1993.0,구암로22길 14,,-,-,2006,140.65442561205273,2006-02-01,57.06789152
