,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,Year,제곱미터당가격(만원),날짜,지수
638,대구광역시 북구 팔달동,145,145,0,대백인터빌,39.49,2006-01-01,21,7130.0,9,2002.0,작원길 25,,-,-,2006,180.55203849075716,2006-01-01,56.80721512
639,대구광역시 북구 팔달동,52,52,0,두산청구,60.0,2006-01-01,19,9400.0,15,1999.0,매천로2길 19,,-,-,2006,156.66666666666666,2006-01-01,56.80721512
640,대구광역시 북구 팔달동,52,52,0,두산청구,134.645,2006-01-01,21,20300.0,9,1999.0,매천로2길 19,,-,-,2006,150.76683129711463,2006-01-01,56.80721512
2200,대구광역시 북구 팔달동,52,52,0,두산청구,84.945,2006-02-01,13,13100.0,2,1999.0,매천로2길 19,,-,-,2006,154.21743481075993,2006-02-01,57.06789152
2201,대구광역시 북구 팔달동,52,52,0,두산청구,84.96,2006-02-01,21,14300.0,14,1999.0,매천로2길 19,,-,-,2006,168.3145009416196,2006-02-01,57.06789152
4212,대구광역시 북구 팔달동,52,52,0,두산청구,134.645,2006-03-01,10,20000.0,11,1999.0,매천로2길 19,,-,-,2006,148.53875004641836,2006-03-01,57.34647609
4213,대구광역시 북구 팔달동,52,52,0,두산청구,84.96,2006-03-01,12,14100.0,13,1999.0,매천로2길 19,,-,-,2006,165.96045197740114,2006-03-01,57.34647609
4214,대구광역시 북구 팔달동,52,52,0,두산청구,45.0,2006-03-01,13,6000.0,9,1999.0,매천로2길 19,,-,-,2006,133.33333333333334,2006-03-01,57.34647609
4215,대구광역시 북구 팔달동,52,52,0,두산청구,45.0,2006-03-01,18,6250.0,13,1999.0,매천로2길 19,,-,-,2006,138.88888888888889,2006-03-01,57.34647609
4216,대구광역시 북구 팔달동,52,52,0,두산청구,84.96,2006-03-01,20,14250.0,13,1999.0,매천로2길 19,,-,-,2006,167.72598870056498,2006-03-01,57.34647609
4217,대구광역시 북구 팔달동,52,52,0,두산청구,45.0,2006-03-01,30,6300.0,17,1999.0,매천로2길 19,,-,-,2006,140.0,2006-03-01,57.34647609
4218,대구광역시 북구 팔달동,52,52,0,두산청구,60.0,2006-03-01,30,9100.0,9,1999.0,매천로2길 19,,-,-,2006,151.66666666666666,2006-03-01,57.34647609
5892,대구광역시 북구 팔달동,145,145,0,대백인터빌,59.67,2006-04-01,14,11100.0,14,2002.0,작원길 25,,-,-,2006,186.02312719959778,2006-04-01,57.54743175
7267,대구광역시 북구 팔달동,145,145,0,대백인터빌,84.95,2006-05-01,24,15600.0,4,2002.0,작원길 25,,-,-,2006,183.63743378457914,2006-05-01,57.78075678
7268,대구광역시 북구 팔달동,52,52,0,두산청구,45.0,2006-05-01,2,6400.0,15,1999.0,매천로2길 19,,-,-,2006,142.22222222222223,2006-05-01,57.78075678
7269,대구광역시 북구 팔달동,52,52,0,두산청구,60.0,2006-05-01,5,9500.0,15,1999.0,매천로2길 19,,-,-,2006,158.33333333333334,2006-05-01,57.78075678
