,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,Year,제곱미터당가격(만원),날짜,지수
21068,대구광역시 북구 학정동,980,980,0,칠곡1차한라하우젠트,112.1791,2007-07-01,28,22890.0,12,2007.0,학남로 10,,-,-,2007,204.04870425952782,2007-07-01,56.28218301
30297,대구광역시 북구 학정동,982,982,0,칠곡2차한라하우젠트,78.7504,2007-08-01,21,18370.0,5,2007.0,학정동로 40,,-,-,2007,233.26865641317377,2007-08-01,56.16351502
34778,대구광역시 북구 학정동,980,980,0,칠곡1차한라하우젠트,84.9692,2007-09-01,14,18500.0,15,2007.0,학남로 10,,-,-,2007,217.72595246277476,2007-09-01,56.06914493
34779,대구광역시 북구 학정동,982,982,0,칠곡2차한라하우젠트,84.9803,2007-09-01,21,19300.0,11,2007.0,학정동로 40,,-,-,2007,227.1114599501296,2007-09-01,56.06914493
42089,대구광역시 북구 학정동,980,980,0,칠곡1차한라하우젠트,84.9692,2008-10-01,1,16500.0,1,2007.0,학남로 10,,-,-,2008,194.18801165598828,2008-10-01,54.61268755
42090,대구광역시 북구 학정동,925,925,0,학정청아람,84.6211,2008-10-01,6,15700.0,25,2007.0,학정로110길 29,,-,-,2008,185.53292263986168,2008-10-01,54.61268755
42091,대구광역시 북구 학정동,925,925,0,학정청아람,59.9858,2008-10-01,9,12000.0,7,2007.0,학정로110길 29,,-,-,2008,200.0473445382074,2008-10-01,54.61268755
44617,대구광역시 북구 학정동,980,980,0,칠곡1차한라하우젠트,112.1791,2008-01-01,10,24900.0,1,2007.0,학남로 10,,-,-,2008,221.96648038716657,2008-01-01,55.58457985
44618,대구광역시 북구 학정동,980,980,0,칠곡1차한라하우젠트,84.9692,2008-01-01,25,18300.0,13,2007.0,학남로 10,,-,-,2008,215.3721583820961,2008-01-01,55.58457985
44619,대구광역시 북구 학정동,982,982,0,칠곡2차한라하우젠트,84.9803,2008-01-01,30,17750.0,1,2007.0,학정동로 40,,-,-,2008,208.87193855517103,2008-01-01,55.58457985
44620,대구광역시 북구 학정동,925,925,0,학정청아람,84.6211,2008-01-01,29,15739.0,12,2007.0,학정로110길 29,,-,-,2008,185.99380060055944,2008-01-01,55.58457985
46827,대구광역시 북구 학정동,982,982,0,칠곡2차한라하우젠트,84.9803,2008-02-01,23,19000.0,14,2007.0,학정동로 40,,-,-,2008,223.58123000271829,2008-02-01,55.48178591
46828,대구광역시 북구 학정동,982,982,0,칠곡2차한라하우젠트,84.9803,2008-02-01,25,20200.0,13,2007.0,학정동로 40,,-,-,2008,237.70214979236366,2008-02-01,55.48178591
46829,대구광역시 북구 학정동,925,925,0,학정청아람,59.6206,2008-02-01,26,12500.0,8,2007.0,학정로110길 29,,-,-,2008,209.6590775671496,2008-02-01,55.48178591
51304,대구광역시 북구 학정동,980,980,0,칠곡1차한라하우젠트,84.9692,2008-05-01,2,18000.0,8,2007.0,학남로 10,,-,-,2008,211.84146726107812,2008-05-01,55.20256247
53199,대구광역시 북구 학정동,980,980,0,칠곡1차한라하우젠트,84.9692,2008-07-01,1,17000.0,1,2007.0,학남로 10,,-,-,2008,200.0724968576849,2008-07-01,55.00110539
