,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,Year,제곱미터당가격(만원),날짜,지수
651,대구광역시 서구 비산동,331-36,331,36,비산우방맨션,59.94,2006-01-01,16,8700.0,10,1995.0,통학로24길 60,,-,-,2006,145.14514514514516,2006-01-01,56.80721512
652,대구광역시 서구 비산동,1011,1011,0,삼성만평,41.4075,2006-01-01,20,4900.0,2,1982.0,달서천로57길 20,,-,-,2006,118.33605023244581,2006-01-01,56.80721512
653,대구광역시 서구 비산동,1198-1,1198,1,수정,68.37,2006-01-01,19,7600.0,8,1986.0,고성로 22,,-,-,2006,111.15986543805762,2006-01-01,56.80721512
654,대구광역시 서구 비산동,315,315,0,한신휴플러스,105.3676,2006-01-01,9,21300.0,18,2005.0,달서로17길 17,,-,-,2006,202.14942733819504,2006-01-01,56.80721512
655,대구광역시 서구 비산동,315,315,0,한신휴플러스,59.9955,2006-01-01,31,10800.0,4,2005.0,달서로17길 17,,-,-,2006,180.01350101257594,2006-01-01,56.80721512
2235,대구광역시 서구 비산동,733,733,0,비산시영,44.23,2006-02-01,3,4630.0,3,1979.0,북비산로61길 34,,-,-,2006,104.68008139271988,2006-02-01,57.06789152
2236,대구광역시 서구 비산동,331-36,331,36,비산우방맨션,59.94,2006-02-01,2,9250.0,13,1995.0,통학로24길 60,,-,-,2006,154.320987654321,2006-02-01,57.06789152
2237,대구광역시 서구 비산동,331-36,331,36,비산우방맨션,84.97,2006-02-01,22,14000.0,6,1995.0,통학로24길 60,,-,-,2006,164.76403436507002,2006-02-01,57.06789152
2238,대구광역시 서구 비산동,331-36,331,36,비산우방맨션,59.94,2006-02-01,28,9100.0,12,1995.0,통학로24길 60,,-,-,2006,151.8184851518185,2006-02-01,57.06789152
2239,대구광역시 서구 비산동,315,315,0,한신휴플러스,84.98,2006-02-01,10,16000.0,3,2005.0,달서로17길 17,,-,-,2006,188.2795951988703,2006-02-01,57.06789152
2240,대구광역시 서구 비산동,315,315,0,한신휴플러스,59.9955,2006-02-01,18,11500.0,4,2005.0,달서로17길 17,,-,-,2006,191.68104274487254,2006-02-01,57.06789152
2241,대구광역시 서구 비산동,315,315,0,한신휴플러스,59.9955,2006-02-01,23,12700.0,10,2005.0,달서로17길 17,,-,-,2006,211.68254285738098,2006-02-01,57.06789152
2242,대구광역시 서구 비산동,315,315,0,한신휴플러스,105.3676,2006-02-01,27,20000.0,12,2005.0,달서로17길 17,,-,-,2006,189.811668862155,2006-02-01,57.06789152
2243,대구광역시 서구 비산동,315,315,0,한신휴플러스,84.98,2006-02-01,28,16500.0,10,2005.0,달서로17길 17,,-,-,2006,194.163332548835,2006-02-01,57.06789152
4263,대구광역시 서구 비산동,511-46,511,46,그린파크103,84.2389,2006-03-01,1,11000.0,5,2002.0,달서로33길 2,,-,-,2006,130.58100236351615,2006-03-01,57.34647609
4264,대구광역시 서구 비산동,486-22,486,22,그린파크2차,59.72,2006-03-01,20,6200.0,6,2003.0,문화로67길 17-7,,-,-,2006,103.81781647689216,2006-03-01,57.34647609
4265,대구광역시 서구 비산동,2008-18,2008,18,보성,63.72,2006-03-01,10,5400.0,5,1983.0,염색공단로11길 35,,-,-,2006,84.7457627118644,2006-03-01,57.34647609
