,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,Year,제곱미터당가격(만원),날짜,지수
2244,대구광역시 서구 원대동1가,79,79,0,대원,61.16,2006-02-01,24,4300.0,3,1979.0,달서천로87길 9,,-,-,2006,70.30739045127535,2006-02-01,57.06789152
2245,대구광역시 서구 원대동1가,39,39,0,제네스빌(39-0),84.33,2006-02-01,13,9200.0,8,2003.0,원대로 25,,-,-,2006,109.09522115498636,2006-02-01,57.06789152
4274,대구광역시 서구 원대동1가,79,79,0,대원,49.5,2006-03-01,10,4650.0,5,1979.0,달서천로87길 9,,-,-,2006,93.93939393939394,2006-03-01,57.34647609
4275,대구광역시 서구 원대동1가,79,79,0,대원,61.16,2006-03-01,21,4800.0,3,1979.0,달서천로87길 9,,-,-,2006,78.48266841072596,2006-03-01,57.34647609
5953,대구광역시 서구 원대동1가,640,640,0,신흥(가),56.2,2006-04-01,5,5000.0,4,1980.0,달서천로76길 8,,-,-,2006,88.9679715302491,2006-04-01,57.54743175
7308,대구광역시 서구 원대동1가,79,79,0,대원,64.46,2006-05-01,30,5750.0,2,1979.0,달서천로87길 9,,-,-,2006,89.2026062674527,2006-05-01,57.78075678
7309,대구광역시 서구 원대동1가,640,640,0,신흥(가),56.2,2006-05-01,10,4500.0,2,1980.0,달서천로76길 8,,-,-,2006,80.0711743772242,2006-05-01,57.78075678
14884,대구광역시 서구 원대동1가,640,640,0,신흥(가),56.2,2006-11-01,19,5200.0,2,1980.0,달서천로76길 8,,-,-,2006,92.52669039145907,2006-11-01,57.34058975
17315,대구광역시 서구 원대동1가,79,79,0,대원,61.16,2006-12-01,5,3200.0,5,1979.0,달서천로87길 9,,-,-,2006,52.32177894048398,2006-12-01,57.34538394
19712,대구광역시 서구 원대동1가,39,39,0,제네스빌(39-0),84.33,2006-08-01,26,9500.0,9,2003.0,원대로 25,,-,-,2006,112.65267401873592,2006-08-01,57.45843241
23022,대구광역시 서구 원대동1가,79,79,0,대원,63.8,2007-01-01,15,5300.0,2,1979.0,달서천로87길 9,,-,-,2007,83.07210031347962,2007-01-01,57.31846862
23023,대구광역시 서구 원대동1가,640,640,0,신흥(가),56.2,2007-01-01,18,3800.0,3,1980.0,달서천로76길 8,,-,-,2007,67.61565836298932,2007-01-01,57.31846862
24706,대구광역시 서구 원대동1가,79,79,0,대원,38.54,2007-03-01,8,3000.0,5,1979.0,달서천로87길 9,,-,-,2007,77.84120394395434,2007-03-01,57.08749012
30312,대구광역시 서구 원대동1가,640,640,0,신흥(가),56.2,2007-08-01,7,5050.0,3,1980.0,달서천로76길 8,,-,-,2007,89.8576512455516,2007-08-01,56.16351502
34803,대구광역시 서구 원대동1가,79,79,0,대원,64.46,2007-09-01,12,6150.0,2,1979.0,달서천로87길 9,,-,-,2007,95.40800496431896,2007-09-01,56.06914493
34804,대구광역시 서구 원대동1가,39,39,0,제네스빌(39-0),84.33,2007-09-01,14,10000.0,1,2003.0,원대로 25,,-,-,2007,118.58176212498518,2007-09-01,56.06914493
37321,대구광역시 서구 원대동1가,639,639,0,신흥(나),52.99,2007-12-01,28,5400.0,4,1981.0,달서천로76길 6,,-,-,2007,101.90602000377429,2007-12-01,55.7187225
40539,대구광역시 서구 원대동1가,640,640,0,신흥(가),56.2,2007-10-01,2,6000.0,5,1980.0,달서천로76길 8,,-,-,2007,106.76156583629893,2007-10-01,55.98447384
51325,대구광역시 서구 원대동1가,39,39,0,제네스빌(39-0),84.33,2008-05-01,19,10500.0,7,2003.0,원대로 25,,-,-,2008,124.51085023123444,2008-05-01,55.20256247
60957,대구광역시 서구 원대동1가,79,79,0,대원,45.52,2008-09-01,25,4430.0,4,1979.0,달서천로87길 9,,-,-,2008,97.31985940246045,2008-09-01,54.78402221
60958,대구광역시 서구 원대동1가,39,39,0,제네스빌(39-0),83.94,2008-09-01,15,8900.0,6,2003.0,원대로 21-8,,-,-,2008,106.02811532046701,2008-09-01,54.78402221
62255,대구광역시 서구 원대동1가,639,639,0,신흥(나),54.22,2008-12-01,23,6000.0,2,1981.0,달서천로76길 6,,-,-,2008,110.66027296200664,2008-12-01,53.87379818
63513,대구광역시 서구 원대동1가,639,639,0,신흥(나),51.9,2008-11-01,7,4600.0,4,1981.0,달서천로76길 6,,-,-,2008,88.63198458574182,2008-11-01,54.35464258
65589,대구광역시 서구 원대동1가,639,639,0,신흥(나),54.22,2009-04-01,20,4400.0,5,1981.0,달서천로76길 6,,-,-,2009,81.15086683880487,2009-04-01,52.32352475
65590,대구광역시 서구 원대동1가,39,39,0,제네스빌(39-0),84.33,2009-04-01,13,10300.0,1,2003.0,원대로 25,,-,-,2009,122.13921498873474,2009-04-01,52.32352475
73536,대구광역시 서구 원대동1가,640,640,0,신흥(가),56.2,2009-05-01,7,4800.0,3,1980.0,달서천로76길 8,,-,-,2009,85.40925266903915,2009-05-01,52.34629986
73537,대구광역시 서구 원대동1가,639,639,0,신흥(나),54.22,2009-05-01,10,5730.0,1,1981.0,달서천로76길 6,,-,-,2009,105.68056067871635,2009-05-01,52.34629986
82004,대구광역시 서구 원대동1가,640,640,0,신흥(가),56.2,2009-08-01,3,5000.0,5,1980.0,달서천로76길 8,,-,-,2009,88.9679715302491,2009-08-01,52.33053554
82005,대구광역시 서구 원대동1가,639,639,0,신흥(나),51.9,2009-08-01,26,4350.0,3,1981.0,달서천로76길 6,,-,-,2009,83.81502890173411,2009-08-01,52.33053554
86268,대구광역시 서구 원대동1가,639,639,0,신흥(나),49.59,2009-09-01,15,3100.0,2,1981.0,달서천로76길 6,,-,-,2009,62.51260334744908,2009-09-01,52.58108236
89265,대구광역시 서구 원대동1가,39,39,0,제네스빌(39-0),84.33,2009-10-01,22,9000.0,3,2003.0,원대로 25,,-,-,2009,106.72358591248666,2009-10-01,52.78330814
93554,대구광역시 서구 원대동1가,79,79,0,대원,55.08,2009-12-01,11,4400.0,4,1979.0,달서천로87길 9,,-,-,2009,79.88380537400145,2009-12-01,53.07318289
93555,대구광역시 서구 원대동1가,39,39,0,제네스빌(39-0),83.94,2009-12-01,10,11500.0,3,2003.0,원대로 21-8,,-,-,2009,137.00262091970455,2009-12-01,53.07318289
98746,대구광역시 서구 원대동1가,639,639,0,신흥(나),54.22,2010-01-01,17,4200.0,3,1981.0,달서천로76길 6,,-,-,2010,77.46219107340465,2010-01-01,53.14881414
101949,대구광역시 서구 원대동1가,39,39,0,제네스빌(39-0),84.33,2010-02-01,1,11700.0,6,2003.0,원대로 25,,-,-,2010,138.74066168623267,2010-02-01,53.24486508
111146,대구광역시 서구 원대동1가,79,79,0,대원,57.85,2010-07-01,21,4800.0,1,1979.0,달서천로87길 9,,-,-,2010,82.97320656871219,2010-07-01,53.42534339
144850,대구광역시 서구 원대동1가,640,640,0,신흥(가),56.2,2011-03-01,9,4750.0,3,1980.0,달서천로76길 8,,-,-,2011,84.51957295373666,2011-03-01,55.89181076
148931,대구광역시 서구 원대동1가,639,639,0,신흥(나),51.9,2011-04-01,15,4530.0,3,1981.0,달서천로76길 6,,-,-,2011,87.28323699421965,2011-04-01,56.88191836
155694,대구광역시 서구 원대동1가,640,640,0,신흥(가),56.2,2011-06-01,2,5800.0,3,1980.0,달서천로76길 8,,-,-,2011,103.20284697508896,2011-06-01,57.70877813
159156,대구광역시 서구 원대동1가,640,640,0,신흥(가),56.2,2011-08-01,12,5100.0,4,1980.0,달서천로76길 8,,-,-,2011,90.74733096085409,2011-08-01,58.97094669
162714,대구광역시 서구 원대동1가,640,640,0,신흥(가),56.2,2011-09-01,5,5150.0,1,1980.0,달서천로76길 8,,-,-,2011,91.63701067615658,2011-09-01,59.75283604
169325,대구광역시 서구 원대동1가,39,39,0,제네스빌(39-0),83.94,2011-12-01,26,11000.0,8,2003.0,원대로 21-8,,-,-,2011,131.0459852275435,2011-12-01,61.64393284
175889,대구광역시 서구 원대동1가,79,79,0,대원,64.46,2012-02-01,13,6000.0,2,1979.0,달서천로87길 9,,-,-,2012,93.08098045299411,2012-02-01,63.33950033
178853,대구광역시 서구 원대동1가,639,639,0,신흥(나),51.9,2012-05-01,2,5500.0,1,1981.0,달서천로76길 6,,-,-,2012,105.97302504816956,2012-05-01,64.3129423
178854,대구광역시 서구 원대동1가,39,39,0,제네스빌(39-0),84.33,2012-05-01,6,12500.0,9,2003.0,원대로 25,,-,-,2012,148.22720265623147,2012-05-01,64.3129423
182270,대구광역시 서구 원대동1가,640,640,0,신흥(가),56.2,2012-03-01,3,5400.0,3,1980.0,달서천로76길 8,,-,-,2012,96.08540925266904,2012-03-01,63.7567406
196171,대구광역시 서구 원대동1가,639,639,0,신흥(나),54.22,2012-09-01,21,7500.0,2,1981.0,달서천로76길 6,,-,-,2012,138.3253412025083,2012-09-01,64.7902792
200112,대구광역시 서구 원대동1가,39,39,0,제네스빌(39-0),84.33,2012-10-01,13,13400.0,5,2003.0,원대로 25,,-,-,2012,158.89956124748014,2012-10-01,64.95215543
203802,대구광역시 서구 원대동1가,639,639,0,신흥(나),54.22,2012-11-01,7,7500.0,2,1981.0,달서천로76길 6,,-,-,2012,138.3253412025083,2012-11-01,65.14923539
206982,대구광역시 서구 원대동1가,640,640,0,신흥(가),56.2,2012-12-01,1,7500.0,1,1980.0,달서천로76길 8,,-,-,2012,133.45195729537366,2012-12-01,65.61889373
215005,대구광역시 서구 원대동1가,640,640,0,신흥(가),56.2,2013-02-01,20,7800.0,4,1980.0,달서천로76길 8,,-,-,2013,138.7900355871886,2013-02-01,66.24715588
218788,대구광역시 서구 원대동1가,640,640,0,신흥(가),56.2,2013-03-01,1,7700.0,1,1980.0,달서천로76길 8,,-,-,2013,137.01067615658363,2013-03-01,66.41775527
218789,대구광역시 서구 원대동1가,640,640,0,신흥(가),56.2,2013-03-01,4,5300.0,4,1980.0,달서천로76길 8,,-,-,2013,94.30604982206405,2013-03-01,66.41775527
223068,대구광역시 서구 원대동1가,79,79,0,대원,64.46,2013-04-01,25,8000.0,5,1979.0,달서천로87길 9,,-,-,2013,124.10797393732548,2013-04-01,67.16066014
232156,대구광역시 서구 원대동1가,79,79,0,대원,45.52,2013-08-01,8,5500.0,3,1979.0,달서천로87길 9,,-,-,2013,120.82601054481546,2013-08-01,70.24509416
238634,대구광역시 서구 원대동1가,640,640,0,신흥(가),56.2,2013-10-01,14,6850.0,1,1980.0,달서천로76길 8,,-,-,2013,121.88612099644128,2013-10-01,71.34848452
238635,대구광역시 서구 원대동1가,640,640,0,신흥(가),56.2,2013-10-01,23,7000.0,4,1980.0,달서천로76길 8,,-,-,2013,124.55516014234875,2013-10-01,71.34848452
238636,대구광역시 서구 원대동1가,639,639,0,신흥(나),54.22,2013-10-01,16,5800.0,5,1981.0,달서천로76길 6,,-,-,2013,106.97159719660642,2013-10-01,71.34848452
241836,대구광역시 서구 원대동1가,640,640,0,신흥(가),56.2,2013-11-01,1,7900.0,4,1980.0,달서천로76길 8,,-,-,2013,140.5693950177936,2013-11-01,72.16444368
248225,대구광역시 서구 원대동1가,640,640,0,신흥(가),56.2,2013-06-01,3,8200.0,4,1980.0,달서천로76길 8,,-,-,2013,145.90747330960852,2013-06-01,68.61705452
250962,대구광역시 서구 원대동1가,79,79,0,대원,61.16,2014-07-01,28,8700.0,3,1979.0,달서천로87길 9,,-,-,2014,142.2498364944408,2014-07-01,76.71968306
250963,대구광역시 서구 원대동1가,639,639,0,신흥(나),49.59,2014-07-01,16,7000.0,2,1981.0,달서천로76길 6,,-,-,2014,141.15749142972373,2014-07-01,76.71968306
253572,대구광역시 서구 원대동1가,79,79,0,대원,45.52,2014-01-01,7,6150.0,3,1979.0,달서천로87길 9,,-,-,2014,135.1054481546573,2014-01-01,74.31139808
256458,대구광역시 서구 원대동1가,640,640,0,신흥(가),56.2,2014-02-01,22,8300.0,4,1980.0,달서천로76길 8,,-,-,2014,147.6868327402135,2014-02-01,74.9551085
