,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,Year,제곱미터당가격(만원),날짜,지수,행정구
745,대구광역시 수성구 범어동,300,300,0,가든하이츠1,84.945,2006-01-01,21,25500.0,5,1985.0,범어로 45,,-,-,2006,300.194243333922,2006-01-01,56.80721512,대구광역시수성구
746,대구광역시 수성구 범어동,320,320,0,경남타운,115.635,2006-01-01,13,40000.0,12,1982.0,범어로 27,,-,-,2006,345.9160288839884,2006-01-01,56.80721512,대구광역시수성구
747,대구광역시 수성구 범어동,320,320,0,경남타운,84.55,2006-01-01,21,26500.0,7,1982.0,범어로 27,,-,-,2006,313.4240094618569,2006-01-01,56.80721512,대구광역시수성구
748,대구광역시 수성구 범어동,804-46,804,46,공작맨션,79.8,2006-01-01,17,22200.0,2,1980.0,청솔로 132,,-,-,2006,278.1954887218045,2006-01-01,56.80721512,대구광역시수성구
749,대구광역시 수성구 범어동,371,371,0,궁전맨션,84.96,2006-01-01,23,27000.0,4,1988.0,동대구로 274,,-,-,2006,317.79661016949154,2006-01-01,56.80721512,대구광역시수성구
750,대구광역시 수성구 범어동,644,644,0,범어아진(644),56.0,2006-01-01,5,15450.0,2,1980.0,동대구로38길 80-2,,-,-,2006,275.89285714285717,2006-01-01,56.80721512,대구광역시수성구
751,대구광역시 수성구 범어동,614-100,614,100,범어청구푸른마을,84.96,2006-01-01,10,27000.0,12,2000.0,동대구로 240,,-,-,2006,317.79661016949154,2006-01-01,56.80721512,대구광역시수성구
752,대구광역시 수성구 범어동,620,620,0,우방범어타운1,84.8,2006-01-01,12,25000.0,1,1983.0,동대구로 230,,-,-,2006,294.811320754717,2006-01-01,56.80721512,대구광역시수성구
753,대구광역시 수성구 범어동,620,620,0,우방범어타운1,75.75,2006-01-01,14,23500.0,1,1983.0,동대구로 230,,-,-,2006,310.23102310231025,2006-01-01,56.80721512,대구광역시수성구
754,대구광역시 수성구 범어동,620,620,0,우방범어타운1,75.75,2006-01-01,14,23500.0,1,1983.0,동대구로 230,,-,-,2006,310.23102310231025,2006-01-01,56.80721512,대구광역시수성구
755,대구광역시 수성구 범어동,620,620,0,우방범어타운1,84.8,2006-01-01,14,26600.0,5,1983.0,동대구로 230,,-,-,2006,313.6792452830189,2006-01-01,56.80721512,대구광역시수성구
756,대구광역시 수성구 범어동,620,620,0,우방범어타운1,84.8,2006-01-01,17,27000.0,1,1983.0,동대구로 230,,-,-,2006,318.39622641509436,2006-01-01,56.80721512,대구광역시수성구
757,대구광역시 수성구 범어동,620,620,0,우방범어타운1,75.75,2006-01-01,27,24300.0,2,1983.0,동대구로 230,,-,-,2006,320.7920792079208,2006-01-01,56.80721512,대구광역시수성구
758,대구광역시 수성구 범어동,650,650,0,우방범어타운2,84.8,2006-01-01,10,26300.0,4,1984.0,동대구로 226,,-,-,2006,310.14150943396226,2006-01-01,56.80721512,대구광역시수성구
759,대구광역시 수성구 범어동,650,650,0,우방범어타운2,84.8,2006-01-01,25,26700.0,1,1984.0,동대구로48길 33,,-,-,2006,314.85849056603774,2006-01-01,56.80721512,대구광역시수성구
760,대구광역시 수성구 범어동,88,88,0,우방청솔맨션,84.97,2006-01-01,3,17700.0,3,1994.0,청호로 422,,-,-,2006,208.30881487583852,2006-01-01,56.80721512,대구광역시수성구
761,대구광역시 수성구 범어동,314-2,314,2,을지맨션,79.74,2006-01-01,14,19500.0,12,1987.0,달구벌대로496길 88,,-,-,2006,244.54477050413846,2006-01-01,56.80721512,대구광역시수성구
762,대구광역시 수성구 범어동,산103,103,0,장원맨션,121.34,2006-01-01,8,33300.0,9,1988.0,청호로 370,,-,-,2006,274.43547057853965,2006-01-01,56.80721512,대구광역시수성구
763,대구광역시 수성구 범어동,산103,103,0,장원맨션,84.98,2006-01-01,18,19500.0,2,1988.0,청호로 370,,-,-,2006,229.4657566486232,2006-01-01,56.80721512,대구광역시수성구
764,대구광역시 수성구 범어동,산103,103,0,장원맨션,84.98,2006-01-01,20,20700.0,10,1988.0,청호로 370,,-,-,2006,243.58672628853847,2006-01-01,56.80721512,대구광역시수성구
765,대구광역시 수성구 범어동,614-3,614,3,태왕유성하이빌,84.9686,2006-01-01,16,31500.0,7,2003.0,동대구로 250,,-,-,2006,370.7251855391286,2006-01-01,56.80721512,대구광역시수성구
