,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,Year,제곱미터당가격(만원),날짜,지수
8509,대구광역시 중구 달성동,118-3,118,3,금오맨션,78.0,2006-07-01,5,6000.0,1,1984.0,태평로 15,,-,-,2006,76.92307692307692,2006-07-01,57.58424016
17948,대구광역시 중구 달성동,118-3,118,3,금오맨션,80.64,2006-12-01,11,6900.0,5,1984.0,태평로 15,,-,-,2006,85.56547619047619,2006-12-01,57.34538394
17949,대구광역시 중구 달성동,118-3,118,3,금오맨션,58.46,2006-12-01,20,5000.0,5,1984.0,태평로 15,,-,-,2006,85.52856654122476,2006-12-01,57.34538394
30599,대구광역시 중구 달성동,118-3,118,3,금오맨션,78.0,2007-08-01,30,7700.0,4,1984.0,태평로 15,,-,-,2007,98.71794871794872,2007-08-01,56.16351502
32353,대구광역시 중구 달성동,118-3,118,3,금오맨션,58.46,2007-11-01,30,5400.0,1,1984.0,태평로 15,,-,-,2007,92.37085186452275,2007-11-01,55.85788472
38964,대구광역시 중구 달성동,118-3,118,3,금오맨션,60.84,2007-05-01,9,5500.0,7,1984.0,태평로 15,,-,-,2007,90.40105193951348,2007-05-01,56.67768634
49944,대구광역시 중구 달성동,118-3,118,3,금오맨션,58.46,2008-03-01,3,6000.0,1,1984.0,태평로 15,,-,-,2008,102.63427984946972,2008-03-01,55.41245583
63723,대구광역시 중구 달성동,118-3,118,3,금오맨션,76.03,2008-11-01,22,7500.0,8,1984.0,태평로 15,,-,-,2008,98.64527160331448,2008-11-01,54.35464258
89862,대구광역시 중구 달성동,118-3,118,3,금오맨션,80.64,2009-10-01,8,7000.0,1,1984.0,태평로 15,,-,-,2009,86.80555555555556,2009-10-01,52.78330814
91907,대구광역시 중구 달성동,118-3,118,3,금오맨션,58.46,2009-11-01,29,5800.0,1,1984.0,태평로 15,,-,-,2009,99.21313718782073,2009-11-01,52.92104651
102457,대구광역시 중구 달성동,118-3,118,3,금오맨션,58.46,2010-02-01,11,6300.0,9,1984.0,태평로 15,,-,-,2010,107.76599384194321,2010-02-01,53.24486508
105306,대구광역시 중구 달성동,118-3,118,3,금오맨션,80.64,2010-03-01,25,6800.0,1,1984.0,태평로 15,,-,-,2010,84.32539682539682,2010-03-01,53.2927623
111599,대구광역시 중구 달성동,118-3,118,3,금오맨션,78.0,2010-07-01,4,7900.0,1,1984.0,태평로 15,,-,-,2010,101.28205128205128,2010-07-01,53.42534339
170202,대구광역시 중구 달성동,118-3,118,3,금오맨션,58.46,2011-12-01,16,6400.0,3,1984.0,태평로 15,,-,-,2011,109.4765651727677,2011-12-01,61.64393284
228314,대구광역시 중구 달성동,118-3,118,3,금오맨션,74.82,2013-05-01,1,12500.0,6,1984.0,태평로 15,,-,-,2013,167.0676289762096,2013-05-01,67.84758002
228315,대구광역시 중구 달성동,118-3,118,3,금오맨션,80.64,2013-05-01,14,8950.0,1,1984.0,태평로 15,,-,-,2013,110.98710317460318,2013-05-01,67.84758002
236056,대구광역시 중구 달성동,118-3,118,3,금오맨션,74.82,2013-09-01,13,10600.0,8,1984.0,태평로 15,,-,-,2013,141.67334937182574,2013-09-01,70.68070466
242790,대구광역시 중구 달성동,118-3,118,3,금오맨션,80.64,2013-11-01,16,9300.0,1,1984.0,태평로 15,,-,-,2013,115.32738095238095,2013-11-01,72.16444368
245618,대구광역시 중구 달성동,118-3,118,3,금오맨션,74.82,2013-12-01,21,12500.0,6,1984.0,태평로 15,,-,-,2013,167.0676289762096,2013-12-01,73.20598653
263175,대구광역시 중구 달성동,118-3,118,3,금오맨션,74.82,2014-04-01,11,11500.0,1,1984.0,태평로 15,,-,-,2014,153.70221865811283,2014-04-01,75.94933438
272333,대구광역시 중구 달성동,118-3,118,3,금오맨션,72.96,2014-09-01,1,12200.0,6,1984.0,태평로 15,,-,-,2014,167.21491228070178,2014-09-01,77.39661602
278630,대구광역시 중구 달성동,118-3,118,3,금오맨션,78.0,2014-11-01,6,14200.0,3,1984.0,태평로 15,,-,-,2014,182.05128205128204,2014-11-01,78.40718518
303580,대구광역시 중구 달성동,118-3,118,3,금오맨션,58.46,2015-05-01,7,11500.0,2,1984.0,태평로 15,,-,-,2015,196.71570304481696,2015-05-01,82.0211757
315665,대구광역시 중구 달성동,118-3,118,3,금오맨션,58.46,2015-12-01,1,10700.0,3,1984.0,태평로 15,,-,-,2015,183.031132398221,2015-12-01,86.08904017
319320,대구광역시 중구 달성동,118-3,118,3,금오맨션,76.03,2016-04-01,28,15700.0,5,1984.0,태평로 15,,-,-,2016,206.49743522293832,2016-04-01,85.01307224
322132,대구광역시 중구 달성동,118-3,118,3,금오맨션,58.46,2016-06-01,1,8000.0,7,1984.0,태평로 15,,-,-,2016,136.84570646595964,2016-06-01,84.43408662
