,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,Year,제곱미터당가격(만원),날짜,지수
916,대구광역시 중구 대봉동,55-3,55,3,청구맨션,84.13,2006-01-01,20,12000.0,8,1978.0,대봉로 254,,-,-,2006,142.63639605372637,2006-01-01,56.80721512
4716,대구광역시 중구 대봉동,44-59,44,59,대봉화성그린빌,213.67,2006-03-01,2,20000.0,6,1996.0,대봉로 226,,-,-,2006,93.60228389572706,2006-03-01,57.34647609
4717,대구광역시 중구 대봉동,55-3,55,3,청구맨션,123.31,2006-03-01,10,20000.0,3,1978.0,대봉로 254,,-,-,2006,162.19284729543426,2006-03-01,57.34647609
4718,대구광역시 중구 대봉동,55-3,55,3,청구맨션,84.13,2006-03-01,22,17700.0,7,1978.0,대봉로 254,,-,-,2006,210.3886841792464,2006-03-01,57.34647609
4719,대구광역시 중구 대봉동,44-10,44,10,청운맨션,84.93,2006-03-01,13,16500.0,4,1986.0,동덕로 33,,-,-,2006,194.27764040974918,2006-03-01,57.34647609
4720,대구광역시 중구 대봉동,44-10,44,10,청운맨션,167.15,2006-03-01,13,34200.0,7,1986.0,동덕로 33,,-,-,2006,204.60664074184862,2006-03-01,57.34647609
4721,대구광역시 중구 대봉동,44-10,44,10,청운맨션,128.07,2006-03-01,31,25500.0,7,1986.0,동덕로 33,,-,-,2006,199.10986179433124,2006-03-01,57.34647609
6311,대구광역시 중구 대봉동,44-59,44,59,대봉화성그린빌,212.47,2006-04-01,20,24000.0,8,1996.0,대봉로 226,,-,-,2006,112.9571233585918,2006-04-01,57.54743175
6312,대구광역시 중구 대봉동,44-10,44,10,청운맨션,128.07,2006-04-01,20,28000.0,12,1986.0,동덕로 33,,-,-,2006,218.63043648004998,2006-04-01,57.54743175
6313,대구광역시 중구 대봉동,44-10,44,10,청운맨션,167.15,2006-04-01,21,34500.0,12,1986.0,동덕로 33,,-,-,2006,206.40143583607536,2006-04-01,57.54743175
7598,대구광역시 중구 대봉동,55-146,55,146,대봉맨션,74.35,2006-05-01,19,10000.0,4,1973.0,명륜로 155,,-,-,2006,134.4989912575656,2006-05-01,57.78075678
7599,대구광역시 중구 대봉동,55-3,55,3,청구맨션,72.6,2006-05-01,22,15000.0,2,1978.0,대봉로 254,,-,-,2006,206.6115702479339,2006-05-01,57.78075678
7600,대구광역시 중구 대봉동,44-10,44,10,청운맨션,105.11,2006-05-01,10,23500.0,8,1986.0,동덕로 33,,-,-,2006,223.57530206450386,2006-05-01,57.78075678
7601,대구광역시 중구 대봉동,44-10,44,10,청운맨션,194.76,2006-05-01,11,38500.0,13,1986.0,동덕로 33,,-,-,2006,197.67919490655166,2006-05-01,57.78075678
7602,대구광역시 중구 대봉동,44-10,44,10,청운맨션,122.22,2006-05-01,16,19000.0,1,1986.0,동덕로 33,,-,-,2006,155.4573719522173,2006-05-01,57.78075678
7603,대구광역시 중구 대봉동,44-10,44,10,청운맨션,84.93,2006-05-01,29,16000.0,2,1986.0,동덕로 33,,-,-,2006,188.39043918521133,2006-05-01,57.78075678
8510,대구광역시 중구 대봉동,152-24,152,24,대봉화성파크드림,79.737,2006-07-01,26,18000.0,15,2006.0,명덕로55길 25,,-,-,2006,225.7421272433124,2006-07-01,57.58424016
8511,대구광역시 중구 대봉동,55-3,55,3,청구맨션,84.13,2006-07-01,5,17000.0,10,1978.0,대봉로 254,,-,-,2006,202.06822774277904,2006-07-01,57.58424016
