,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,Year,제곱미터당가격(만원),날짜,지수
917,대구광역시 중구 대신동,1535,1535,0,광명,54.74,2006-01-01,5,6000.0,4,1979.0,큰장로 74,,-,-,2006,109.60906101571062,2006-01-01,56.80721512
2675,대구광역시 중구 대신동,1535,1535,0,광명,69.09,2006-02-01,20,10200.0,4,1979.0,큰장로 74,,-,-,2006,147.63352149370385,2006-02-01,57.06789152
4722,대구광역시 중구 대신동,1535,1535,0,광명,69.09,2006-03-01,30,10400.0,4,1979.0,큰장로 74,,-,-,2006,150.52829642495294,2006-03-01,57.34647609
4723,대구광역시 중구 대신동,1450,1450,0,동서,83.06,2006-03-01,2,13500.0,1,1985.0,달구벌대로 1937,,-,-,2006,162.53310859619552,2006-03-01,57.34647609
4724,대구광역시 중구 대신동,1450,1450,0,동서,84.42,2006-03-01,7,10000.0,5,1985.0,달구벌대로 1937,,-,-,2006,118.45534233593935,2006-03-01,57.34647609
6314,대구광역시 중구 대신동,1450,1450,0,동서,65.06,2006-04-01,25,10200.0,5,1985.0,달구벌대로 1937,,-,-,2006,156.7783584383646,2006-04-01,57.54743175
8514,대구광역시 중구 대신동,1535,1535,0,광명,69.09,2006-07-01,12,9800.0,5,1979.0,큰장로 74,,-,-,2006,141.84397163120568,2006-07-01,57.58424016
15575,대구광역시 중구 대신동,1535,1535,0,광명,59.24,2006-11-01,23,9100.0,3,1979.0,큰장로 74,,-,-,2006,153.61242403781227,2006-11-01,57.34058975
15576,대구광역시 중구 대신동,1450,1450,0,동서,83.06,2006-11-01,19,9000.0,3,1985.0,달구벌대로 1937,,-,-,2006,108.35540573079702,2006-11-01,57.34058975
15577,대구광역시 중구 대신동,1450,1450,0,동서,83.06,2006-11-01,29,9500.0,2,1985.0,달구벌대로 1937,,-,-,2006,114.37515049361907,2006-11-01,57.34058975
17957,대구광역시 중구 대신동,1535,1535,0,광명,54.74,2006-12-01,27,8050.0,2,1979.0,큰장로 74,,-,-,2006,147.05882352941177,2006-12-01,57.34538394
17958,대구광역시 중구 대신동,1450,1450,0,동서,65.06,2006-12-01,15,7000.0,1,1985.0,달구벌대로 1937,,-,-,2006,107.59299108515216,2006-12-01,57.34538394
17959,대구광역시 중구 대신동,1450,1450,0,동서,84.42,2006-12-01,20,10000.0,4,1985.0,달구벌대로 1937,,-,-,2006,118.45534233593935,2006-12-01,57.34538394
17960,대구광역시 중구 대신동,305-1,305,1,태왕아너스스카이,84.9293,2006-12-01,21,21300.0,19,2006.0,달구벌대로 1975,,-,-,2006,250.79683925335544,2006-12-01,57.34538394
17961,대구광역시 중구 대신동,305-1,305,1,태왕아너스스카이,84.9293,2006-12-01,21,18500.0,4,2006.0,달구벌대로 1975,,-,-,2006,217.82824066605988,2006-12-01,57.34538394
17962,대구광역시 중구 대신동,305-1,305,1,태왕아너스스카이,75.9791,2006-12-01,21,17700.0,19,2006.0,달구벌대로 1975,,-,-,2006,232.9588005122461,2006-12-01,57.34538394
17963,대구광역시 중구 대신동,305-1,305,1,태왕아너스스카이,191.3881,2006-12-01,21,43000.0,24,2006.0,달구벌대로 1975,,-,-,2006,224.67436585660235,2006-12-01,57.34538394
17964,대구광역시 중구 대신동,305-1,305,1,태왕아너스스카이,84.9293,2006-12-01,21,20500.0,7,2006.0,달구벌대로 1975,,-,-,2006,241.3772396569853,2006-12-01,57.34538394
17965,대구광역시 중구 대신동,305-1,305,1,태왕아너스스카이,84.9293,2006-12-01,21,22300.0,23,2006.0,달구벌대로 1975,,-,-,2006,262.57133874881816,2006-12-01,57.34538394
17966,대구광역시 중구 대신동,305-1,305,1,태왕아너스스카이,84.9293,2006-12-01,21,17800.0,7,2006.0,달구벌대로 1975,,-,-,2006,209.586091019236,2006-12-01,57.34538394
17967,대구광역시 중구 대신동,305-1,305,1,태왕아너스스카이,84.9293,2006-12-01,21,19000.0,19,2006.0,달구벌대로 1975,,-,-,2006,223.71549041379123,2006-12-01,57.34538394
17968,대구광역시 중구 대신동,305-1,305,1,태왕아너스스카이,84.9293,2006-12-01,21,18800.0,7,2006.0,달구벌대로 1975,,-,-,2006,221.3605905146987,2006-12-01,57.34538394
17969,대구광역시 중구 대신동,305-1,305,1,태왕아너스스카이,84.9293,2006-12-01,22,20000.0,6,2006.0,달구벌대로 1975,,-,-,2006,235.48998990925395,2006-12-01,57.34538394
17970,대구광역시 중구 대신동,305-1,305,1,태왕아너스스카이,84.9293,2006-12-01,22,19000.0,10,2006.0,달구벌대로 1975,,-,-,2006,223.71549041379123,2006-12-01,57.34538394
17971,대구광역시 중구 대신동,305-1,305,1,태왕아너스스카이,84.9293,2006-12-01,23,20750.0,8,2006.0,달구벌대로 1975,,-,-,2006,244.32086453085097,2006-12-01,57.34538394
17972,대구광역시 중구 대신동,305-1,305,1,태왕아너스스카이,84.9293,2006-12-01,24,21500.0,16,2006.0,달구벌대로 1975,,-,-,2006,253.151739152448,2006-12-01,57.34538394
17973,대구광역시 중구 대신동,305-1,305,1,태왕아너스스카이,84.9293,2006-12-01,27,19000.0,11,2006.0,달구벌대로 1975,,-,-,2006,223.71549041379123,2006-12-01,57.34538394
17974,대구광역시 중구 대신동,305-1,305,1,태왕아너스스카이,106.967,2006-12-01,28,23500.0,29,2006.0,달구벌대로 1975,,-,-,2006,219.69392429440856,2006-12-01,57.34538394
21393,대구광역시 중구 대신동,1450,1450,0,동서,65.06,2007-07-01,6,8700.0,1,1985.0,달구벌대로 1937,,-,-,2007,133.72271749154626,2007-07-01,56.28218301
21394,대구광역시 중구 대신동,305-1,305,1,태왕아너스스카이,131.3415,2007-07-01,16,30650.0,14,2006.0,달구벌대로 1975,,-,-,2007,233.3611234834382,2007-07-01,56.28218301
23361,대구광역시 중구 대신동,1535,1535,0,광명,54.74,2007-01-01,22,8000.0,4,1979.0,큰장로 74,,-,-,2007,146.14541468761416,2007-01-01,57.31846862
23362,대구광역시 중구 대신동,305-1,305,1,태왕아너스스카이,75.9791,2007-01-01,2,17000.0,15,2006.0,달구벌대로 1975,,-,-,2007,223.74574060498216,2007-01-01,57.31846862
23363,대구광역시 중구 대신동,305-1,305,1,태왕아너스스카이,75.9791,2007-01-01,2,17000.0,9,2006.0,달구벌대로 1975,,-,-,2007,223.74574060498216,2007-01-01,57.31846862
23364,대구광역시 중구 대신동,305-1,305,1,태왕아너스스카이,84.9293,2007-01-01,3,19000.0,8,2006.0,달구벌대로 1975,,-,-,2007,223.71549041379123,2007-01-01,57.31846862
23365,대구광역시 중구 대신동,305-1,305,1,태왕아너스스카이,75.9791,2007-01-01,3,16000.0,1,2006.0,달구벌대로 1975,,-,-,2007,210.5842264517479,2007-01-01,57.31846862
23366,대구광역시 중구 대신동,305-1,305,1,태왕아너스스카이,75.9791,2007-01-01,5,17000.0,15,2006.0,달구벌대로 1975,,-,-,2007,223.74574060498216,2007-01-01,57.31846862
23367,대구광역시 중구 대신동,305-1,305,1,태왕아너스스카이,75.9791,2007-01-01,5,18100.0,16,2006.0,달구벌대로 1975,,-,-,2007,238.22340617353981,2007-01-01,57.31846862
23368,대구광역시 중구 대신동,305-1,305,1,태왕아너스스카이,75.9791,2007-01-01,10,20312.0,16,2006.0,달구벌대로 1975,,-,-,2007,267.33667548049397,2007-01-01,57.31846862
23369,대구광역시 중구 대신동,305-1,305,1,태왕아너스스카이,84.9293,2007-01-01,23,18500.0,21,2006.0,달구벌대로 1975,,-,-,2007,217.82824066605988,2007-01-01,57.31846862
23370,대구광역시 중구 대신동,305-1,305,1,태왕아너스스카이,84.9293,2007-01-01,26,19500.0,16,2006.0,달구벌대로 1975,,-,-,2007,229.6027401615226,2007-01-01,57.31846862
23371,대구광역시 중구 대신동,305-1,305,1,태왕아너스스카이,106.967,2007-01-01,30,24500.0,29,2006.0,달구벌대로 1975,,-,-,2007,229.04260192395785,2007-01-01,57.31846862
25066,대구광역시 중구 대신동,1450,1450,0,동서,83.06,2007-03-01,10,13500.0,2,1985.0,달구벌대로 1937,,-,-,2007,162.53310859619552,2007-03-01,57.08749012
25067,대구광역시 중구 대신동,305-1,305,1,태왕아너스스카이,106.967,2007-03-01,15,25500.0,13,2006.0,달구벌대로 1975,,-,-,2007,238.39127955350716,2007-03-01,57.08749012
25068,대구광역시 중구 대신동,305-1,305,1,태왕아너스스카이,75.9791,2007-03-01,16,19100.0,4,2006.0,달구벌대로 1975,,-,-,2007,251.38492032677408,2007-03-01,57.08749012
25069,대구광역시 중구 대신동,305-1,305,1,태왕아너스스카이,131.3415,2007-03-01,30,29200.0,24,2006.0,달구벌대로 1975,,-,-,2007,222.32120083903413,2007-03-01,57.08749012
26433,대구광역시 중구 대신동,1535,1535,0,광명,61.92,2007-04-01,23,8000.0,2,1979.0,큰장로 74,,-,-,2007,129.19896640826872,2007-04-01,56.86922921
28580,대구광역시 중구 대신동,1450,1450,0,동서,84.42,2007-06-01,12,7000.0,5,1985.0,달구벌대로 1937,,-,-,2007,82.91873963515755,2007-06-01,56.49345407
28581,대구광역시 중구 대신동,305-1,305,1,태왕아너스스카이,133.761,2007-06-01,15,24300.0,2,2006.0,달구벌대로 1975,,-,-,2007,181.6673021284231,2007-06-01,56.49345407
30604,대구광역시 중구 대신동,1450,1450,0,동서,65.06,2007-08-01,31,9500.0,4,1985.0,달구벌대로 1937,,-,-,2007,146.01905932984937,2007-08-01,56.16351502
