"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"대구광역시 남구 대명동","2542-12","2542","0012","EZ-ONE","84.375","202201","15","26,600","6","2014","명덕로20길 34","","중개거래","대구 서구"
"대구광역시 남구 대명동","2542-12","2542","0012","EZ-ONE","83.495","202203","31","25,000","7","2014","명덕로20길 34","","중개거래","대구 중구"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202201","18","29,000","2","1980","대명로 117","","중개거래","대구 남구"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202202","7","28,000","7","1980","대명로 117","","중개거래","대구 남구"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202203","28","27,500","5","1980","대명로 117","","중개거래","대구 남구"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202205","10","27,500","4","1980","대명로 117","","중개거래","대구 남구"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202205","20","26,000","10","1980","대명로 117","","중개거래","대구 남구"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202205","20","23,700","1","1980","대명로 117","","직거래","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202206","2","26,000","9","1980","대명로 117","","직거래","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202210","7","24,000","1","1980","대명로 117","20221130","중개거래","대구 남구"
"대구광역시 남구 대명동","3008","3008","0000","경북","74.25","202205","11","19,000","1","1983","대경길 258","","직거래","-"
"대구광역시 남구 대명동","3008","3008","0000","경북","74.25","202208","31","17,500","2","1983","대경길 258","","중개거래","대구 남구"
"대구광역시 남구 대명동","1733-3","1733","0003","경일맨션","70.35","202207","2","13,500","6","1977","현충로 190","","중개거래","대구 남구"
"대구광역시 남구 대명동","2519-5","2519","0005","계명맨션","81.33","202211","15","25,750","1","1980","명덕로20길 12","","중개거래","대구 남구"
"대구광역시 남구 대명동","3046-1","3046","0001","골든뷰파크","84.8278","202204","30","26,000","6","2016","성당로 138","","중개거래","대구 남구, 대구 달서구"
"대구광역시 남구 대명동","3060","3060","0000","교대역동서프라임36.5","78.9447","202204","29","37,200","12","2017","이천로19길 81","","중개거래","대구 수성구"
"대구광역시 남구 대명동","3060","3060","0000","교대역동서프라임36.5","84.3316","202205","18","50,160","4","2017","이천로19길 81","","직거래","-"
"대구광역시 남구 대명동","3060","3060","0000","교대역동서프라임36.5","76.244","202210","23","33,000","7","2017","이천로19길 81","","중개거래","대구 남구"
"대구광역시 남구 대명동","3060","3060","0000","교대역동서프라임36.5","76.244","202212","13","35,600","5","2017","이천로19길 81","","직거래","-"
"대구광역시 남구 대명동","3060","3060","0000","교대역동서프라임36.5","76.244","202212","23","34,200","9","2017","이천로19길 81","","직거래","-"
"대구광역시 남구 대명동","3067","3067","0000","교대역하늘채뉴센트원","74.7212","202206","22","45,950","8","2022","중앙대로 187","20221011","중개거래","대구 남구, 대구 달서구"
"대구광역시 남구 대명동","3067","3067","0000","교대역하늘채뉴센트원","74.7212","202207","15","46,510","12","2022","중앙대로 187","","중개거래","대구 남구"
"대구광역시 남구 대명동","3067","3067","0000","교대역하늘채뉴센트원","84.6442","202208","19","46,159","2","2022","중앙대로 187","","중개거래","대구 동구"
"대구광역시 남구 대명동","3067","3067","0000","교대역하늘채뉴센트원","75.3276","202210","14","42,370","17","2022","중앙대로 187","","중개거래","대구 남구"
"대구광역시 남구 대명동","1607-11","1607","0011","금강리치타운","84.07","202211","16","19,000","7","2006","도촌길 138","","중개거래","대구 달성군"
"대구광역시 남구 대명동","1623-6","1623","0006","나나바루아","84.8562","202205","20","34,500","9","2015","대명복개로4길 104","","직거래","-"
"대구광역시 남구 대명동","1623-60","1623","0060","나나바루아아파트(102동)","84.952","202202","22","38,500","7","2021","대명로 69","20230530","직거래","-"
"대구광역시 남구 대명동","1623-60","1623","0060","나나바루아아파트(102동)","54.094","202202","22","24,000","7","2021","대명로 69","20230530","직거래","-"
"대구광역시 남구 대명동","1623-60","1623","0060","나나바루아아파트(102동)","54.094","202202","23","25,000","13","2021","대명로 69","","직거래","-"
"대구광역시 남구 대명동","1623-60","1623","0060","나나바루아아파트(102동)","54.094","202203","1","25,000","12","2021","대명로 69","","직거래","-"
"대구광역시 남구 대명동","1623-60","1623","0060","나나바루아아파트(102동)","84.952","202204","2","37,500","5","2021","대명로 69","","직거래","-"
"대구광역시 남구 대명동","1623-60","1623","0060","나나바루아아파트(102동)","54.094","202204","5","25,000","11","2021","대명로 69","","직거래","-"
"대구광역시 남구 대명동","1623-60","1623","0060","나나바루아아파트(102동)","84.952","202205","18","38,500","9","2021","대명로 69","","직거래","-"
"대구광역시 남구 대명동","1623-60","1623","0060","나나바루아아파트(102동)","54.094","202206","27","24,000","8","2021","대명로 69","","직거래","-"
"대구광역시 남구 대명동","3007-34","3007","0034","대명(3007-34)","84.98","202201","9","17,500","5","1991","대경길 222","","중개거래","대구 남구"
"대구광역시 남구 대명동","산58-2","0058","0002","대명가든맨션","69.84","202202","17","17,000","4","1983","중앙대로31길 79","20220222","직거래","-"
"대구광역시 남구 대명동","산58-2","0058","0002","대명가든맨션","69.84","202204","25","17,000","4","1983","중앙대로31길 79","","직거래","-"
"대구광역시 남구 대명동","산58-2","0058","0002","대명가든맨션","69.84","202206","15","28,000","3","1983","중앙대로31길 79","","중개거래","경북 경산시"
"대구광역시 남구 대명동","3072","3072","0000","대명역센트럴엘리프","84.6292","202205","18","60,000","10","2022","대명로14길 60","20230329","중개거래","대구 남구"
"대구광역시 남구 대명동","3072","3072","0000","대명역센트럴엘리프","84.6292","202208","8","55,000","23","2022","대명로14길 60","","중개거래","대구 남구"
"대구광역시 남구 대명동","1128","1128","0000","대명헤리티지","84.6","202207","9","40,800","12","2022","대명역2길 104","","직거래","-"
"대구광역시 남구 대명동","1128","1128","0000","대명헤리티지","84.94","202208","23","39,300","13","2022","대명역2길 104","","직거래","-"
"대구광역시 남구 대명동","1128","1128","0000","대명헤리티지","84.94","202208","31","41,000","16","2022","대명역2길 104","","직거래","-"
"대구광역시 남구 대명동","780-3","0780","0003","동신점보","63.35","202203","13","23,500","2","1979","대명로 177","","중개거래","대구 남구"
"대구광역시 남구 대명동","780-3","0780","0003","동신점보","84.8","202206","7","28,000","10","1979","대명로 177","","중개거래","대구 남구"
"대구광역시 남구 대명동","3008-4","3008","0004","동아","52.515","202201","24","14,400","3","1980","현충로31길 48","","중개거래","대구 남구"
"대구광역시 남구 대명동","1220-24","1220","0024","동아대덕","84.96","202208","2","22,000","12","1992","현충서길 29","","중개거래","대구 남구"
"대구광역시 남구 대명동","181-1","0181","0001","백작맨션","169.9","202207","14","39,950","13","1988","중앙대로31길 28","","중개거래","대구 남구"
"대구광역시 남구 대명동","181-1","0181","0001","백작맨션","169.9","202207","19","38,850","10","1988","중앙대로31길 28","","중개거래","대구 남구"
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","59.79","202205","13","18,500","6","1998","큰골길 200","","중개거래","대구 남구"
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","84.99","202205","25","28,000","3","1998","큰골길 200","","중개거래","대구 남구"
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","59.79","202208","8","18,000","3","1998","큰골길 200","","중개거래","대구 남구"
"대구광역시 남구 대명동","3044-8","3044","0008","비취맨션","79.8275","202209","2","22,000","2","1983","두류공원로 88","","중개거래","대구 남구"
"대구광역시 남구 대명동","1721-29","1721","0029","삼두","42.525","202202","7","10,000","4","1980","대명서로 17","","중개거래","대구 남구"
"대구광역시 남구 대명동","1721-29","1721","0029","삼두","42.525","202203","3","13,000","4","1980","대명서로 17","","중개거래","대구 남구, 대구 달서구"
"대구광역시 남구 대명동","1721-29","1721","0029","삼두","42.525","202204","8","9,500","1","1980","대명서로 17","","중개거래","대구 남구"
"대구광역시 남구 대명동","1721-29","1721","0029","삼두","42.525","202206","7","10,000","1","1980","대명서로 17","","중개거래","대구 남구"
"대구광역시 남구 대명동","1551-34","1551","0034","삼성공원","44.52","202204","25","11,400","5","1983","앞산순환로 337","","중개거래","대구 남구"
"대구광역시 남구 대명동","1551-34","1551","0034","삼성공원","44.52","202204","29","9,600","3","1983","앞산순환로 337","","중개거래","대구 남구"
"대구광역시 남구 대명동","1551-34","1551","0034","삼성공원","44.52","202205","12","9,500","1","1983","앞산순환로 337","","직거래","-"
"대구광역시 남구 대명동","1551-34","1551","0034","삼성공원","44.52","202207","21","8,300","3","1983","앞산순환로 337","","직거래","-"
"대구광역시 남구 대명동","1701-2","1701","0002","새한(1701-2)","116.69","202209","1","31,000","3","1979","대명로49길 38","","직거래","-"
"대구광역시 남구 대명동","1714-7","1714","0007","서동해피플러스","84.605","202207","2","21,000","9","2007","현충로 127","","중개거래","대구 남구"
"대구광역시 남구 대명동","1714-7","1714","0007","서동해피플러스","84.5475","202210","25","20,000","4","2007","현충로 127","","중개거래","대구 달서구"
"대구광역시 남구 대명동","1631-1","1631","0001","세신(1631-1)","53.9","202208","26","13,500","2","1982","대명복개로 192","","직거래","-"
"대구광역시 남구 대명동","461-1","0461","0001","세신(461-1)","66.45","202202","19","11,200","3","1980","자유1길 86","","중개거래","대구 남구"
"대구광역시 남구 대명동","461-1","0461","0001","세신(461-1)","66.45","202204","11","12,000","4","1980","자유1길 86","","직거래","-"
"대구광역시 남구 대명동","461-1","0461","0001","세신(461-1)","66.45","202209","22","13,000","2","1980","자유1길 86","","직거래","-"
"대구광역시 남구 대명동","1676-5","1676","0005","앞산클래식명가","100.47","202208","10","34,000","12","2006","현충로 107","","중개거래","대구 남구"
"대구광역시 남구 대명동","302-1","0302","0001","영대맨션","89.43","202201","14","49,000","3","2001","대명로53길 33","","직거래","-"
"대구광역시 남구 대명동","3042-32","3042","0032","이-파크","80.2675","202202","9","27,000","13","2005","성당로 142","","직거래","-"
"대구광역시 남구 대명동","3042-32","3042","0032","이-파크","80.2675","202212","10","21,400","15","2005","성당로 142","","중개거래","대구 남구"
"대구광역시 남구 대명동","629-1","0629","0001","정우맨션","109.02","202206","13","26,000","10","1979","현충로25길 71","","직거래","-"
"대구광역시 남구 대명동","629-1","0629","0001","정우맨션","81.818","202206","28","21,000","1","1979","현충로25길 71","","중개거래","대구 남구"
"대구광역시 남구 대명동","629-1","0629","0001","정우맨션","109.02","202209","13","24,000","6","1979","현충로25길 71","","직거래","-"
"대구광역시 남구 대명동","629-1","0629","0001","정우맨션","109.02","202210","20","26,100","6","1979","현충로25길 71","","중개거래","대구 남구"
"대구광역시 남구 대명동","629-1","0629","0001","정우맨션","81.818","202211","12","23,800","2","1979","현충로25길 71","","중개거래","대구 남구"
"대구광역시 남구 대명동","1797-10","1797","0010","제2경일맨션","91.41","202201","12","16,500","4","1979","중앙대로47길 35","","중개거래","대구 남구"
"대구광역시 남구 대명동","63-1","0063","0001","천호","99.83","202202","14","30,000","2","2002","명덕시장길 96","20220908","직거래","-"
"대구광역시 남구 대명동","63-1","0063","0001","천호","99.83","202209","7","27,000","2","2002","명덕시장길 96","","직거래","-"
"대구광역시 남구 대명동","1719","1719","0000","청구로얄하이츠","232.3675","202210","11","40,000","3","1982","현충로29길 29","","직거래","-"
"대구광역시 남구 대명동","1593-5","1593","0005","코스모스","80.055","202203","26","27,300","2","1982","대명로 37","","중개거래","대구 달서구"
"대구광역시 남구 대명동","1593-5","1593","0005","코스모스","81.31","202204","7","23,500","4","1982","대명로 37","","중개거래","대구 남구"
"대구광역시 남구 대명동","1593-5","1593","0005","코스모스","81.31","202204","15","27,100","2","1982","대명로 37","","중개거래","대구 남구"
