"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"대구광역시 남구 대명동","3022-1","3022","0001","강남골든하이츠","83.56","200707","30","         8,700","5","2002","양지남길 28","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","200701","18","        10,500","2","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","200703","14","         9,600","1","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","200703","22","         7,000","7","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","200704","10","        10,700","10","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","200706","28","        10,000","9","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","200708","21","         9,700","9","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","200711","29","         9,250","5","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1733-3","1733","0003","경일맨션","71.37","200704","26","         6,100","3","1977","현충로 190","","-","-"
"대구광역시 남구 대명동","1797-69","1797","0069","경일빌라트","122.61","200703","28","         9,000","8","1996","중앙대로47길 39","","-","-"
"대구광역시 남구 대명동","2519-5","2519","0005","계명맨션","106.6775","200701","3","         9,700","5","1980","명덕로20길 12","","-","-"
"대구광역시 남구 대명동","2519-5","2519","0005","계명맨션","112.82","200702","7","         9,000","5","1980","명덕로20길 12","","-","-"
"대구광역시 남구 대명동","2519-5","2519","0005","계명맨션","81.33","200708","17","         7,800","5","1980","명덕로20길 12","","-","-"
"대구광역시 남구 대명동","1607-11","1607","0011","금강리치타운","84.07","200701","5","        12,200","4","2006","도촌길 138","","-","-"
"대구광역시 남구 대명동","1607-11","1607","0011","금강리치타운","84.07","200701","7","        12,800","7","2006","도촌길 138","","-","-"
"대구광역시 남구 대명동","1607-11","1607","0011","금강리치타운","84.07","200701","29","        12,800","3","2006","도촌길 138","","-","-"
"대구광역시 남구 대명동","1607-11","1607","0011","금강리치타운","84.07","200702","14","        12,200","4","2006","도촌길 138","","-","-"
"대구광역시 남구 대명동","1607-11","1607","0011","금강리치타운","84.07","200711","15","        11,000","1","2006","도촌길 138","","-","-"
"대구광역시 남구 대명동","3051-12","3051","0012","금오맨션1동","60.975","200704","15","         6,700","4","1982","두류공원로17길 39","","-","-"
"대구광역시 남구 대명동","3051-16","3051","0016","금오맨션2동","72.205","200708","14","         7,000","5","1982","두류공원로17길 39","","-","-"
"대구광역시 남구 대명동","산58-2","0058","0002","대명가든맨션","69.84","200709","16","         6,950","1","1983","중앙대로31길 79","","-","-"
"대구광역시 남구 대명동","산58-2","0058","0002","대명가든맨션","69.84","200711","8","         7,200","1","1983","중앙대로31길 79","","-","-"
"대구광역시 남구 대명동","산58-2","0058","0002","대명가든맨션","83.16","200712","4","         8,000","5","1983","중앙대로31길 79","","-","-"
"대구광역시 남구 대명동","3000-12","3000","0012","대명하이츠","71.63","200704","5","         6,500","5","2001","양지남길 57","","-","-"
"대구광역시 남구 대명동","3000-12","3000","0012","대명하이츠","74.2","200704","22","         8,500","3","2001","양지남길 57","","-","-"
"대구광역시 남구 대명동","780-3","0780","0003","동신점보","84.8","200702","28","         6,500","11","1979","대명로 177","","-","-"
"대구광역시 남구 대명동","780-3","0780","0003","동신점보","84.8","200705","30","         8,500","4","1979","대명로 177","","-","-"
