시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
대구광역시 남구 대명동,1635,1635,0000,개나리맨션,59.8,200601,23,"         8,400",8,1980,대명로 117,,-,-
대구광역시 남구 대명동,1635,1635,0000,개나리맨션,59.8,200602,25,"         9,350",7,1980,대명로 117,,-,-
대구광역시 남구 대명동,1635,1635,0000,개나리맨션,59.8,200603,8,"         9,750",2,1980,대명로 117,,-,-
대구광역시 남구 대명동,1635,1635,0000,개나리맨션,59.8,200604,5,"         9,700",7,1980,대명로 117,,-,-
대구광역시 남구 대명동,1635,1635,0000,개나리맨션,59.8,200604,29,"         9,200",3,1980,대명로 117,,-,-
대구광역시 남구 대명동,1635,1635,0000,개나리맨션,59.8,200604,29,"         9,450",7,1980,대명로 117,,-,-
대구광역시 남구 대명동,1635,1635,0000,개나리맨션,59.8,200605,4,"        10,000",7,1980,대명로 117,,-,-
대구광역시 남구 대명동,1635,1635,0000,개나리맨션,59.8,200605,4,"         9,000",7,1980,대명로 117,,-,-
대구광역시 남구 대명동,1635,1635,0000,개나리맨션,59.8,200607,12,"         9,900",7,1980,대명로 117,,-,-
대구광역시 남구 대명동,1635,1635,0000,개나리맨션,59.8,200609,6,"         9,000",3,1980,대명로 117,,-,-
대구광역시 남구 대명동,1635,1635,0000,개나리맨션,59.8,200609,14,"         9,900",4,1980,대명로 117,,-,-
대구광역시 남구 대명동,1635,1635,0000,개나리맨션,59.8,200610,17,"         9,700",10,1980,대명로 117,,-,-
대구광역시 남구 대명동,1635,1635,0000,개나리맨션,59.8,200610,23,"         9,900",6,1980,대명로 117,,-,-
대구광역시 남구 대명동,1635,1635,0000,개나리맨션,59.8,200611,15,"         9,600",9,1980,대명로 117,,-,-
대구광역시 남구 대명동,1635,1635,0000,개나리맨션,59.8,200611,24,"         9,600",5,1980,대명로 117,,-,-
대구광역시 남구 대명동,1635,1635,0000,개나리맨션,59.8,200612,1,"         9,500",10,1980,대명로 117,,-,-
대구광역시 남구 대명동,3008,3008,0000,경북,74.25,200603,4,"         7,050",3,1983,대경길 258,,-,-
대구광역시 남구 대명동,3008,3008,0000,경북,74.25,200603,6,"         6,000",3,1983,대경길 258,,-,-
대구광역시 남구 대명동,3008,3008,0000,경북,74.25,200603,31,"         7,000",5,1983,대경길 258,,-,-
대구광역시 남구 대명동,3008,3008,0000,경북,71.28,200605,22,"         6,800",4,1983,대경길 258,,-,-
대구광역시 남구 대명동,3008,3008,0000,경북,74.25,200609,11,"         8,000",4,1983,대경길 258,,-,-
대구광역시 남구 대명동,3008,3008,0000,경북,74.25,200609,23,"         8,000",3,1983,대경길 258,,-,-
대구광역시 남구 대명동,3008,3008,0000,경북,71.28,200610,28,"         7,300",5,1983,대경길 258,,-,-
대구광역시 남구 대명동,1733-3,1733,0003,경일맨션,53.95,200603,18,"         5,500",5,1977,현충로 190,,-,-
대구광역시 남구 대명동,1733-3,1733,0003,경일맨션,71.37,200604,12,"         6,800",7,1977,현충로 190,,-,-
대구광역시 남구 대명동,2519-5,2519,0005,계명맨션,112.82,200607,29,"         9,900",3,1980,명덕로20길 12,,-,-
대구광역시 남구 대명동,3049-37,3049,0037,궁전하이츠,82.91,200603,6,"        12,850",7,2002,두류공원로 83,,-,-
대구광역시 남구 대명동,3049-37,3049,0037,궁전하이츠,82.91,200606,19,"        11,500",3,2002,두류공원로 83,,-,-
대구광역시 남구 대명동,1607-11,1607,0011,금강리치타운,84.07,200606,1,"        12,000",7,2006,도촌길 138,,-,-
대구광역시 남구 대명동,1607-11,1607,0011,금강리치타운,84.07,200606,1,"        12,000",2,2006,도촌길 138,,-,-
대구광역시 남구 대명동,1607-11,1607,0011,금강리치타운,84.07,200606,1,"        12,700",9,2006,도촌길 138,,-,-
대구광역시 남구 대명동,1607-11,1607,0011,금강리치타운,84.07,200606,7,"        11,500",1,2006,도촌길 138,,-,-
대구광역시 남구 대명동,1607-11,1607,0011,금강리치타운,84.07,200607,8,"        12,700",6,2006,도촌길 138,,-,-
대구광역시 남구 대명동,1607-11,1607,0011,금강리치타운,84.07,200608,29,"        12,000",2,2006,도촌길 138,,-,-
대구광역시 남구 대명동,1607-11,1607,0011,금강리치타운,84.07,200610,2,"        12,800",8,2006,도촌길 138,,-,-
대구광역시 남구 대명동,1607-11,1607,0011,금강리치타운,84.07,200610,30,"        12,800",8,2006,도촌길 138,,-,-
